8. 0
Liers Nucl. Phys A170 616 (1971) ________________________ from plot
29 X
85.95  .659   0.1
90.58  .335   0.1
95.84  .046   0.1
101.09 -.0879 0.1 
105.33 -.370  0.1
110.98 -.576  0.1
115.70 -.714  0.1
120.74 -.810  0.1
125.6  -.596  0.1
131    .728   0.1
135.89 .879   0.1
140.46 .667   0.1
145.85 .645   0.1
150.69 .747   0.1
155.8  .846   0.1
160.65 .879   0.1
165.36 .879   0.1
15.65  1
Lombardi et al, Nucl. Phys. A188 103 (1972) _____________________from plot
26 X
35.8   207.6  -10. 
40.99  129.45 -10. 
46.38  91.73  -10. 
51.4   70.34  -10. 
56.34  53.99  -10. 
61.65  33.07  -10. 
66.43  16.65  -10. 
71.01  6.43   -10. 
75.85  2.503  -10. 
80.97  4.517  -10. 
85.95  8.67   -10. 
90.58  12.51  -10. 
95.84  14.62  -10. 
101.09 14.15  -10. 
105.33 11.88  -10. 
110.98 7.968  -10. 
120.74 2.061  -10. 
125.6  .838   -10. 
131    .956   -10. 
135.89 2.02   -10. 
140.46 3.267  -10. 
145.85 4.505  -10. 
150.69 5.401  -10. 
155.8  5.810  -10. 
160.65 5.76   -10. 
165.36 5.784  -10. 
25 A
35.8   .137   .1
40.99  .109   .1
46.38  0      .1
51.4   -.170  .1
56.34  -.335  .1
61.65  -.489  .1
66.43  -.733  .1
71.01  -.857  .1
75.85  .302   .1
80.97  .989   .1
85.95  .599   .1
90.58  .302   .1
95.84  .055   .1
101.09 -.137  .1
105.33 -.335  .1
110.98 -.571  .1
120.74 -1.018 .1
125.6  .131   .1
131    1.00   .1
135.89 .837   .1
140.46 .667   .1
145.85 .590   .1
150.69 .631   .1
155.8  .692   .1
160.65 .879   .1
21.0 1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________from table
48 X
10.21 14810. -3.0
12.77 5810. -3.2
15.32 3036. -1.9
17.87 1788. -1.4
20.42 1089.0 -1.3
22.97 650.5 -2.8
25.52 391.3 -1.9
28.07 225.2 -2.3
30.61 124.0 -1.5
33.16 76.84 -3.4
35.71 63.90 -0.8
38.25 70.32 -0.5
40.79 81.51 -0.5
43.33 93.10 -0.5
45.87 97.37 -0.4
48.41 97.52 -0.5
50.94 87.00 -0.7
53.48 74.27 -2.6
56.01 58.34 -1.2
58.54 43.35 -1.8
61.06 29.59 -1.0
63.59 18.19 -4.2
66.11 11.03 -3.2
68.64 7.243 -1.3
71.16 6.379 -1.0
73.67 7.587 -1.7
76.19 9.973 -0.9
78.70 11.23 -1.0
81.21 14.47 -2.4
83.72 15.88 -0.9
86.22 15.07 -1.9
91.23 14.52 -0.9
96.22 10.60 -2.4
101.21 5.981 -0.6
106.19 3.379 -0.8
111.15 2.184 -0.6
116.11 1.982 -0.7
121.07 2.216 -0.8
126.01 2.603 -1.7
130.94 2.824 -0.5
135.87 2.866 -1.0
140.79 2.856 -0.6
145.71 2.715 -0.5
150.62 2.467 -0.9
155.52 2.171 -0.9
160.42 1.975 -1.0
165.32 1.886 -0.8
170.21 1.919 -1.0
0 A
25.0  1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________from table
49  X
10.21 10520. -1.3 
12.77 4776. -1.2
15.32 2612. -0.9
17.87 1570.  -1.3
20.42 922.5 -0.8
22.97 519.9 -0.9
25.52 257.2 -2.6
28.07 104.9 -2.6
30.62 41.30 -1.2
33.16 30.94 -0.7
35.71 49.06 -0.7
38.25 77.17 -1.2
40.79 100.3 -0.5
43.33 115.7 -0.7
45.87 115.8 -0.5
48.41 107.8 -1.6
50.95 89.18 -0.5
53.48 69.28 -1.3
56.01 48.79 -0.6
58.54 32.09  -1.2
61.07 19.18 -0.7
63.60 11.70 -1.3
66.12 8.451 -1.2
68.64 8.678 -1.6
71.16 9.462 -1.8
73.68 12.41 -3.4
76.19 14.60 -0.7
78.71 16.13 -1.1
81.22 16.58 -0.8
83.72 16.24 -0.6
86.23 14.02 -0.8
88.73 11.85 -1.3
91.24 9.387 -2.0
96.23 5.131 -1.6
101.22 2.524 -1.0
106.19 1.963 -0.6
111.16 2.428 -1.2
116.12 2.936 -1.2
121.07 2.974 -0.5
126.01 2.475 -0.9
130.95 1.756 -1.0
135.87 1.178 -1.4
140.79 .933 -1.1
145.71 1.010 -1.5
150.62 1.290 -1.6
155.52 1.583 -0.5
160.42 1.826 -0.7
165.32 1.969 -0.6
170.21 2.100 -1.0
0 A
30.0 1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________from table
49  X
10.22 8090 -1.2
12.77 4054. -3.4
15.32 2439. -1.0
17.87 1468. -2.4
20.42 840.9 -0.8
22.98 403.4 -3.3
25.52 154.5 -2.7
28.07 44.37 -3.6
30.62 18.10 -0.9
33.17 35.40 -1.0
35.71 70.44 -1.8
38.26 107.3 -1.2
40.80 127.2 -1.3
43.34 130.3 -1.1
45.88 114.4 -2.0
48.42 97.39 -1.7
50.95 73.14 -0.6
53.49 49.46 -1.6
56.02 30.29 -1.9
58.55 18.18 -1.6
61.08 11.93 -1.2
63.60 9.690 -4.1
66.13 10.47 -1.5
68.65 12.88 -6.5
71.17 15.05 -1.0
73.68 16.15 -0.7
76.20 16.23 -0.8
