9 1
(A.Marinov,L.L.Lee,J.P.Schiffer) PR 145 (1966) 852
18 X
30.        1085.   -5.
37.5       546.    -5.
45.        330.    -5.
52.5       184.    -5.
60.        98.     -5.
67.5       48.     -5.
75.        19.9    -5.
82.5       8.      -5.
90.        5.4     -5.
97.5       9.9     -5.
105.       13.2    -5.
112.5      13.1    -5.
120.       14.5    -5.
127.5      12.2    -5.
135.       11.1    -5.
142.5      9.      -5.
150.       7.5     -5.
157.5      6.6     -5.
165.       5.9     -5.
0 A
10.75 2
LOMBARDI Nuclear Physics, Section A, Vol.188, p.103 (1972) 
28 X
30.3       0.842   .016
35.6       1.007   .016
40.9       1.063   .016
46.2       1.173   .016
51.6       1.129   .016
55.9       1.173   .016
61.5       0.842   .016
66.9       0.798   .016
70.1       0.511   .016
76.3       0.401   .016
81.9       0.18    .016
85.9       0.18    .016
89.9       0.235   .016
95.2       0.401   .016
100.4      0.732   .016
105.6      1.008   .016
109.6      1.395   .016
115.2      1.571   .016
120.2      1.726   .016
125.6      1.676   .016
132.2      1.45    .016
135.       1.252   .016
140.6      0.954   .016
146.2      0.7     .016
150.3      0.623   .016
154.4      0.468   .016
159.8      0.402   .016
164.1      0.468   .016
0 A
12. 1
(A.Marinov,L.L.Lee,J.P.Schiffer) PR 145 (1966) 852
18 X
30.        886.    -5.
37.5       401.    -5.
45.        202.    -5.
52.5       97.     -5.
60.        56.     -5.
67.5       27.9    -5.
75.        10.2    -5.
90.        3.7     -5.
97.5       7.7     -5.
105.       9.7     -5.
112.5      11.3    -5.
120.       9.      -5.
127.5      6.4     -5.
135.       3.7     -5.
142.5      2.05    -5.
150.       2.03    -5.
157.5      2.54    -5.
165.       3.02    -5.
0 A
14.15 2
LOMBARDI Nuclear Physics, Section A, Vol.188, p.103 (1972) 
26 X
40.        0.895    .015
45.4       0.947    .015
50.8       1.053    .015
55.2       1.158    .015
61.6       1.263    .015
66.        1.053    .015
71.4       0.947    .015
76.8       0.526    .015
80.6       0.274    .015
84.9       0.211    .015
91.4       0.421    .015
95.7       0.842    .015
99.5       1.431    .015
104.9      1.894    .015
110.3      2.063    .015
115.7      2.052    .015
121.1      1.894    .015
126.6      1.579    .015
130.9      1.052    .015
134.7      0.579    .015
140.1      0.484    .015
145.5      0.631    .015
150.9      0.947    .015
156.3      1.263    .015
161.7      1.747    .015
164.4      2.168    .015
0 A
15.61 2
LOMBARDI Nuclear Physics, Section A, Vol.188, p.103 (1972) 
26 X
36.1       0.69   .04
39.9       0.69   .04
45.1       0.906  .04
50.4       1.22   .04
54.4       1.553  .04
60.8       1.573  .04
65.2       1.446  .04
69.3       0.971  .04
75.        0.443  .04
80.6       0.217  .04
85.9       0.368  .04
91.        0.799  .04
94.8       1.554  .04
98.3       1.877  .04
103.5      2.261  .04
108.9      2.206  .04
114.5      1.878  .04
120.1      1.554  .04
124.8      0.864  .04
131.6      0.433  .04
134.4      0.261  .04
139.6      0.477  .04
144.8      0.865  .04
148.7      1.447  .04
153.8      1.878  .04
158.8      2.418  .04
0 A

