0 -23.534
1 -45.9607
2 -36.9474
3 -40.3353
11.4623 -44.9586 -0.000932854
11.522 -49.3024 -0.000812782
11.5817 -54.0653 -0.000704796
11.6415 -59.2875 -0.000608127
11.7012 -65.0134 -0.000522015
11.761 -71.2914 -0.000445706
11.8208 -78.1747 -0.000378455
11.8805 -85.7216 -0.000319527
11.9403 -93.996 -0.0002682
12 -103.068 -0.00022377
12.0598 -113.014 -0.000185556
