9 19
145.76 0.136 0.0136
150.67 0.147 0.0147
155.56 0.157 0.0157
160.46 0.153 0.0153
165.34 0.117 0.0117
170.23 0.07 0.007
45 47
10.23 4496 449.6
12.79 3202 320.2
15.35 2206 220.6
17.9 1484 148.4
20.46 769.4 76.94
23.01 354.1 35.41
25.57 116.6 11.66
28.12 52.05 5.205
30.67 41.46 4.146
33.22 52.85 5.285
35.77 73.19 7.319
38.32 88.62 8.862
40.86 88.67 8.867
43.41 78.67 7.867
45.95 51.55 5.155
48.49 36.04 3.604
51.03 22.2 2.22
53.56 14.19 1.419
56.1 8.725 0.8725
58.63 7.194 0.7194
61.16 7.131 0.7131
63.69 7.41 0.741
66.22 7.113 0.7113
68.74 6.643 0.6643
71.26 5.596 0.5596
73.78 4.55 0.455
76.3 3.279 0.3279
78.81 2.363 0.2363
81.32 1.653 0.1653
86.34 0.872 0.0872
91.34 0.897 0.0897
96.34 0.864 0.0864
101.32 0.623 0.0623
106.29 0.431 0.0431
111.26 0.233 0.0233
116.21 0.143 0.0143
121.16 0.12 0.012
126.1 0.128 0.0128
131.03 0.123 0.0123
135.95 0.101 0.0101
140.86 0.067 0.0067
145.77 0.045 0.0045
150.67 0.036 0.0036
155.57 0.042 0.0042
160.46 0.045 0.0045
165.35 0.041 0.0041
170.23 0.025 0.0025
48.4 47
10.23 3446 344.6
12.79 2614 261.4
15.35 1874 187.4
17.9 1223 122.3
20.46 688 68.8
23.02 304 30.4
25.57 100 10
28.12 44.47 4.447
30.67 34.04 3.404
33.22 46.44 4.644
35.77 59.87 5.987
38.32 75.67 7.567
40.87 75.76 7.576
43.41 69.59 6.959
45.95 42.93 4.293
48.49 29.99 2.999
51.03 15.98 1.598
53.57 8.663 0.8663
56.1 7.531 0.7531
58.63 6.638 0.6638
61.17 6.668 0.6668
63.69 6.521 0.6521
66.22 6.078 0.6078
68.74 5.209 0.5209
71.26 4.073 0.4073
73.78 3.103 0.3103
76.3 2.108 0.2108
78.81 1.474 0.1474
81.32 0.914 0.0914
86.34 0.808 0.0808
91.34 0.743 0.0743
96.34 0.546 0.0546
101.32 0.394 0.0394
106.3 0.213 0.0213
111.26 0.126 0.0126
116.22 0.09 0.009
121.16 0.089 0.0089
126.1 0.089 0.0089
131.03 0.076 0.0076
135.95 0.054 0.0054
140.86 0.033 0.0033
145.77 0.016 0.0016
150.67 0.013 0.0013
155.57 0.015 0.0015
160.46 0.021 0.0021
165.35 0.02 0.002
170.23 0.015 0.0015
65 27
20.5 278.3 27.83
21.53 185.9 18.59
22.55 122.1 12.21
23.57 73.73 7.373
24.6 49.57 4.957
25.62 33.77 3.377
26.64 26.19 2.619
27.67 27.73 2.773
28.68 28.06 2.806
29.71 33.17 3.317
30.73 37.33 3.733
33.32 45.45 4.545
35.84 42.11 4.211
38.39 33.71 3.371
40.94 21.9 2.19
43.49 12.87 1.287
