2.38 -1
ABRAMSON,Prog.Rep.Report from Euratom-countries+Euratom to EANDC, No.149 (1971)
15 X
86.7926 19.8644 -5.0
91.5238 23.4788 -5.0
95.7971 27.3325 -5.0
99.9128 27.725 -5.0
104.9366 23.7595 -5.0
108.7376 18.5804 -5.0
113.6038 13.8742 -5.0
120.2937 9.0226 -5.0
125.168 8.3475 -5.0
129.5862 7.9638 -5.0
134.0078 8.3287 -5.0
139.3434 8.5759 -5.0
144.5277 9.1053 -5.0
149.4113 10.7617 -5.0
153.6857 12.9175 -5.0
17 A
20.5202 -0.0324 0.0365
25.099 -0.0237 0.0337
29.244 0.0468 0.0393
40.0583 0.2834 0.0421
51.4839 -0.3395 0.0365
60.7494 -0.5917 0.0309
70.3313 -0.7007 0.0225
81.7815 -0.1578 0.0393
87.1343 0.0925 0.0309
92.4315 -0.0336 0.0365
100.6666 -0.2634 0.0309
110.8604 -0.229 0.0253
120.6563 0.1115 0.0449
125.8623 0.3674 0.0421
131.4275 0.056 0.059
140.8111 -0.3957 0.0337
159.3881 0.4116 0.059
13.9 -1
Tornow_NucPhysA385_373(1982)_____________from_DataThief
27 X
28.2586 234.1125 -7.0
32.7299 111.049 -7.0
39.8784 34.9246 -7.0
43.372 33.3748 -7.0
46.8402 37.71 -7.0
51.7404 48.8732 -7.0
56.3777 52.7606 -7.0
61.0519 44.6406 -7.0
65.1496 36.6355 -7.0
69.8607 24.2942 -7.0
74.5765 15.6271 -7.0
80.4175 12.8267 -7.0
85.8988 16.6245 -7.0
90.2271 20.2715 -7.0
95.441 22.5618 -7.0
98.9276 22.5685 -7.0
103.8854 19.9882 -7.0
108.5735 15.4352 -7.0
114.1424 11.2158 -7.0
117.9727 7.9041 -7.0
123.228 6.688 -7.0
128.4556 6.7936 -7.0
133.6856 6.7966 -7.0
138.9109 7.0099 -7.0
144.7059 7.8023 -7.0
149.922 8.5526 -7.0
153.6946 8.8199 -7.0
16 A
21.2635 -0.0453 0.0178
25.1728 -0.0277 0.02
28.6558 0.0435 0.0223
40.0844 0.0275 0.0601
51.8909 -0.3761 0.0735
60.6869 -0.5858 0.0445
69.9183 -0.7866 0.0668
82.0188 -0.1589 0.0935
92.0214 -0.0301 0.0868
101.245 -0.2844 0.049
110.3649 -0.2558 0.0557
120.8328 0.0891 0.0936
130.808 0.0286 0.1114
140.1299 -0.5464 0.0935
150.7016 -0.4844 0.1091
155.3025 0.3127 0.1203
16.9 1
Honore_PhysRevC33_1129(1986)_____________from_DataThief
26 X
17.5135 689.4701 -5.0
22.3657 356.5561 -5.0
26.4467 144.3654 -5.0
33.3876 22.6113 -5.0
41.3373 42.9187 -5.0
45.9311 75.527 -5.0
49.8973 82.7082 -5.0
55.6912 87.8006 -5.0
59.7948 64.5787 -5.0
69.2107 26.5143 -5.0
75.2933 18.3342 -5.0
81.6963 19.1645 -5.0
85.8149 20.9858 -5.0
90.393 24.4284 -5.0
95.1132 21.587 -5.0
99.831 17.9431 -5.0
109.1102 11.1376 -5.0
114.2812 8.3159 -5.0
119.7535 5.6639 -5.0
130.256 3.9121 -5.0
135.1378 4.4162 -5.0
140.0208 5.1402 -5.0
144.7461 5.2132 -5.0
149.0154 5.4523 -5.0
153.7303 4.198 -5.0
159.2044 2.9936 -5.0
17 A
19.3911 0.0377 0.0337
27.8108 -0.0235 0.0366
36.0607 0.3674 0.0675
42.5827 -0.1378 0.0422
46.5785 -0.3201 0.0618
51.6005 -0.3507 0.059
60.3228 -0.558 0.0309
70.506 -0.4478 0.0309
81.2606 0.0556 0.0534
91.1554 0.0254 0.0393
100.3181 -0.1286 0.0477
109.9181 -0.1701 0.0225
120.0896 0.1788 0.0674
130.8472 0.6205 0.0927
140.6241 -0.0137 0.0899
150.083 -0.1873 0.0618
157.8875 0.2514 0.0675
19.0 1
Alarcon Nuc Phys A462 413 (1987) ______________ from DataThief
33 X
14.87 1037.6641 -7.0
17.4984 779.6365 -7.0
20.3438 542.8823 -7.0
25.3701 230.5344 -7.0
30.3695 47.5817 -7.0
32.7349 11.2291 -7.0
35.593 11.0047 -7.0
38.0438 25.8331 -7.0
40.4847 46.4881 -7.0
45.5638 81.993 -7.0
50.6302 102.7531 -7.0
55.6811 84.8035 -7.0
60.9428 54.6767 -7.0
65.9859 36.6203 -7.0
71.0269 23.1689 -7.0
76.2935 17.0613 -7.0
80.9145 18.3716 -7.0
85.9781 21.3395 -7.0
91.2566 21.7001 -7.0
95.8698 18.9626 -7.0
101.1378 14.5043 -7.0
105.9639 10.4818 -7.0
111.012 8.0182 -7.0
116.2799 6.133 -7.0
121.1138 5.4615 -7.0
126.3712 3.1422 -7.0
130.7764 3.7921 -7.0
136.0501 3.3763 -7.0
140.6788 4.4799 -7.0
145.9397 2.8341 -7.0
150.5586 2.8828 -7.0
155.4107 4.2057 -7.0
160.463 3.6053 -7.0
0 A
20. 1
Rapaport Nuc Phys A286 232 (1977) __________ from DataThief
18 X
19.9932 502.2236 -5.0
25.6659 167.2705 -5.0
30.5343 42.793 -5.0
35.6567 31.4245 -5.0
40.4958 59.4163 -5.0
45.6073 91.8398 -5.0
51.2654 82.5141 -5.0
55.8455 77.6437 -5.0
60.6998 51.9478 -5.0
65.553 37.5576 -5.0
70.9507 18.4306 -5.0
76.0676 19.6358 -5.0
85.7631 21.6044 -10.0
96.0149 7.2041 -10.0
105.7091 8.6991 -15.0
115.9529 4.9911 -15.0
130.2344 3.4529 -15.0
145.0548 2.3523 -15.0
0 A
21.7 1
Alarcon Nuc Phys A462 413 (1987) ______________ from DataThief
39 X
12.9507 1395.3153 -7.0
16.0146 935.3082 -7.0
19.5163 592.1344 -7.0
22.3526 322.1392 -7.0
25.3982 131.8091 -7.0
28.4297 36.8926 -7.0
32.1209 10.3231 -7.0
34.5773 28.2082 -7.0
37.6857 62.5343 -7.0
40.7799 94.8315 -7.0
43.8672 118.9415 -7.0
46.9473 123.3844 -7.0
49.8012 107.8993 -7.0
52.8786 103.7441 -7.0
55.9453 75.0287 -7.0
59.0121 54.2615 -7.0
61.6412 41.5501 -7.0
65.1478 30.0439 -7.0
67.7789 24.3541 -7.0
71.2912 20.4984 -7.0
74.15 20.4737 -7.0
77.4508 21.6435 -7.0
80.5324 23.3209 -7.0
83.3912 23.2928 -7.0
86.2493 22.8272 -7.0
89.5452 21.1284 -7.0
92.3977 17.7883 -7.0
96.564 12.8587 -7.0
101.6036 7.8323 -7.0
106.4283 5.4493 -7.0
111.2642 5.1371 -7.0
116.103 5.2249 -7.0
120.9396 5.0199 -7.0
126.2062 3.6966 -7.0
131.2564 2.9935 -7.0
135.8681 2.5184 -7.0
144.217 2.0365 -7.0
151.0392 2.3193 -7.0
159.1837 2.8482 -7.0
0 A
25.5 1
Alarcon Nuc Phys A462 413 (1987) ______________ from DataThief
39 X
18.0374 811.3358 -7.0
21.3142 449.7681 -7.0
24.8039 206.197 -7.0
27.4076 79.7129 -7.0
30.69 51.4375 -7.0
33.7702 53.3589 -7.0
36.6431 77.9096 -7.0
39.7353 111.6065 -7.0
42.5984 124.9217 -7.0
45.6757 120.1111 -7.0
48.973 115.4749 -7.0
52.0418 88.4073 -7.0
55.1121 70.3038 -7.0
58.1768 48.0294 -7.0
61.245 36.0796 -7.0
64.0883 23.7322 -7.0
66.9408 19.9805 -7.0
70.4558 18.1441 -7.0
73.314 17.7814 -7.0
76.3942 18.4456 -7.0
79.253 18.4233 -7.0
82.1118 18.4011 -7.0
85.4084 17.3582 -7.0
88.4773 13.2894 -7.0
91.5525 12.0702 -7.0
96.3722 7.3527 -7.0
101.1926 4.5648 -7.0
106.4599 3.4259 -7.0
111.2944 3.1093 -7.0
116.3467 2.6655 -7.0
121.1897 3.0381 -7.0
126.2441 2.7571 -7.0
131.0709 2.0307 -7.0
135.8843 1.0427 -7.0
140.7103 0.7535 -7.0
145.7753 0.9091 -7.0
150.8382 1.0361 -7.0
155.6861 1.3489 -7.0
159.6558 1.8246 -7.0
0 A
26. 1
Rapaport Nuc Phys A286 232 (1977) __________ from DataThief
19 X
15.4116 1214.7381 -10.0
20.4833 549.7606 -10.0
25.5278 133.5343 -10.0
30.5804 39.0925 -10.0
35.4439 70.6519 -10.0
40.8422 119.9935 -10.0
45.9521 129.7864 -10.0
50.7754 93.6718 -10.0
56.1308 59.6987 -10.0
61.2127 34.1199 -10.0
65.7578 19.8051 -10.0
71.1343 20.4453 -10.0
75.9672 18.3471 -10.0
81.3356 15.7146 -10.0
86.1698 14.5476 -10.0
91.0013 12.6547 -10.0
105.683 1.2878 -15.0
120.4803 1.8453 -15.0
150.8712 2.  -20.0
0 A
30. 1
DeVito Phys Rev Lett 47 628 (1981) ___________ from DataThief
21 X
14.9888 1919.2838 -5.0
20.4327 575.6907 -5.0
25.6757 182.5413 -5.0
30.7347 85.3168 -5.0
36.2636 132.4232 -5.0
41.377 177.3542 -5.0
46.0597 152.5208 -5.0
51.3379 95.7816 -5.0
56.2006 51.9019 -5.0
61.0596 26.1216 -5.0
66.1539 24.1799 -5.0
71.861 22.7906 -5.0
76.334 17.5459 -5.0
81.6265 14.536 -5.0
86.2825 7.4532 -5.0
90.9489 4.6824 -5.0
96.6388 3.1651 -5.0
101.938 2.9841 -5.0
111.0985 2.1668 -5.0
120.8783 1.8232 -5.0
130.6172 0.6933 -10.0
0 A
40. 1
DeVito Phys Rev Lett 47 628 (1981) ___________ from DataThief
19 X
15.2216 1738.9686 -5.0
20.2892 959.7442 -5.0
25.5245 262.5176 -5.0
30.7941 139.6116 -5.0
36.3001 139.1054 -5.0
40.9857 126.443 -5.0
46.2667 83.9289 -5.0
50.9179 39.2376 -5.0
55.9779 18.6809 -5.0
61.0665 15.4784 -5.0
66.7659 12.5851 -5.0
71.6506 10.429 -5.0
76.1103 6.1997 -5.0
81.1836 3.8226 -5.0
86.4456 1.7537 -5.0
91.1292 1.5362 -5.0
101.0606 0.468 -15.0
111.1996 0.1535 -15.0
121.0453 0.4619 -15.0
0 A
65. 1
Hjort Phys Rev C 50 275 (1994) _____ from DataThief
27 X
7.4896 5353.2891 889.805
8.562 5684.6183 1016.1361
9.6297 4526.713 576.7801
10.6228 4069.2328 409.2666
11.6935 3886.341 546.2986
12.7589 2700.3032 379.5786
13.6732 2118.1117 352.0651
14.6661 1875.4243 381.141
15.6577 1539.4152 294.1322
16.7248 1189.2678 227.2304
17.9445 891.2759 191.8098
18.8581 668.0544 143.7707
19.312 485.9084 121.5276
20.0 464.1589 116.088
21.3723 337.4488 64.4544
23.4275 173.0946 30.941
25.6479 183.7013 30.5283
27.6331 139.7191 26.7002
29.5456 133.3827 22.1704
31.7635 121.6577 21.7465
33.8283 110.9719 15.5992
35.8125 79.4403 14.2001
37.8723 53.5225 7.5272
40.0116 43.2476 6.6395
42.0729 31.9103 6.097
44.0601 27.3972 5.2347
46.0451 20.5244 4.1718
0 A
65. -1
Osborne Phys Rev C 70 054613 (2004) ______________ from table
8 X
7.2 4460. 1500.
9.2 4780. 520.
11.3 3940. 490.
13.3 2600. 380.
15.4 1890. 320.
17.5 1210. 220.
19.5 768. 164.
21.6 537. 165.
0 A
75. 0
Osborne Phys Rev C 70 054613 (2004) ______________ from table
8 X
7.2 4380. 1510.
9.2 4970. 650.
11.3 2780. 450.
13.4 2620. 410.
15.4 2200. 300.
17.5 1130. 240.
19.5 632. 149.
21.6 307. 126.
0 A
85. 0
Osborne Phys Rev C 70 054613 (2004) ______________ from table
8 X
7.2 4940. 1400.
9.2 3770. 460.
11.3 3140. 370.
13.4 2020. 290.
15.4 1450. 220.
17.5 700. 133.
19.5 313. 103.
21.6 201. 85.
0 A
95.  0
Osborne Phys Rev C 70 054613 (2004) ______________ from table
8 X
7.2 3780. 1170.
9.2 3360. 420.
11.3 2650. 350.
13.4 1600. 250.
15.4 909. 164.
17.5 407. 124.
19.5 245. 95.
21.6 82. 72.
0 A
107.5  0
Osborne Phys Rev C 70 054613 (2004) ______________ from table
8 X
7.2 3900. 1270.
9.3 3280. 440.
11.3 1880. 360.
13.4 1430. 250.
15.4 829. 169.
17.5 338. 94.
19.5 260. 79.
21.6 105. 62.
0 A
127.5  0
Osborne Phys Rev C 70 054613 (2004) ______________ from table
8 X
7.2 2840. 990.
9.3 2130. 360.
11.3 1400. 230.
13.4 712. 171.
15.4 484. 117.
17.5 149. 62.
19.5 110. 55.
21.6 25. 37.
0 A
155.  0
Osborne Phys Rev C 70 054613 (2004) ______________ from table
8 X
7.2 1920. 710.
9.3 1410. 300.
11.3 877. 182.
13.4 471. 128.
15.4 198. 80.
17.5 67. 48.
19.5 55. 41.
21.6 40. 27.
0 A
185.  0
Osborne Phys Rev C 70 054613 (2004) ______________ from table
8 X
7.2 1520. 570.
9.3 1040. 265.
11.3 469. 157.
13.4 236. 110.
15.4 110. 48.
17.5 56. 40.
19.6 59. 50.
21.6 16. 23.1
0 A
-1 -1
