0.0666667  -0.159503 0.344755
0.133333  -0.315729 0.211388
0.2  -0.366206 0.101899
0.266667  -0.379918 0.0179204
0.333333  -0.377659 -0.0474431
0.4  -0.367808 -0.0993041
0.466667  -0.354317 -0.141139
0.533333  -0.339236 -0.175348
0.6  -0.323696 -0.203632
0.666667  -0.30835 -0.227233
0.733333  -0.293579 -0.247077
0.8  -0.279609 -0.263873
0.866667  -0.266573 -0.278168
0.933333  -0.254546 -0.290393
1  -0.243715 -0.300854
1.06667  -0.233798 -0.309913
1.13333  -0.224947 -0.317745
1.2  -0.217157 -0.324535
1.26667  -0.210418 -0.330429
1.33333  -0.204716 -0.335549
1.4  -0.200041 -0.339992
1.46667  -0.196379 -0.343838
1.53333  -0.193718 -0.347146
1.6  -0.192207 -0.349952
1.66667  -0.191519 -0.352318
1.73333  -0.191807 -0.354252
1.8  -0.193066 -0.355766
1.86667  -0.195291 -0.356864
1.93333  -0.198478 -0.357538
2  -0.202788 -0.357758
2.06667  -0.207886 -0.35753
2.13333  -0.213937 -0.356808
2.2  -0.220933 -0.355551
2.26667  -0.228868 -0.353714
2.33333  -0.237899 -0.35121
2.4  -0.247669 -0.348034
2.46667  -0.258332 -0.344091
2.53333  -0.269861 -0.339305
2.6  -0.282221 -0.333595
2.66667  -0.295536 -0.326823
2.73333  -0.309414 -0.319004
2.8  -0.323965 -0.309998
2.86667  -0.339111 -0.299713
2.93333  -0.354924 -0.28798
3  -0.370973 -0.274872
3.06667  -0.387309 -0.260236
3.13333  -0.403959 -0.243894
3.2  -0.420461 -0.226003
3.26667  -0.436828 -0.206419
3.33333  -0.452899 -0.18512
3.4  -0.468639 -0.161963
3.46667  -0.483605 -0.137249
3.53333  -0.497773 -0.110885
3.6  -0.511092 -0.0827707
3.66667  -0.523178 -0.0533359
3.73333  -0.534018 -0.0225301
3.8  -0.543576 0.00970115
3.86667  -0.551579 0.0428164
3.93333  -0.558054 0.0768377
4  -0.562956 0.111583
4.06667  -0.566302 0.147068
4.13333  -0.568025 0.182684
4.2  -0.568212 0.218449
4.26667  -0.566928 0.254174
4.33333  -0.564248 0.289884
4.4  -0.560298 0.324986
4.46667  -0.5552 0.359535
4.53333  -0.549094 0.393382
4.6  -0.542129 0.426394
4.66667  -0.534461 0.458452
4.73333  -0.526247 0.489453
4.8  -0.517642 0.519308
4.86667  -0.5088 0.547942
4.93333  -0.499865 0.575296
5  -0.490974 0.601325
5.06667  -0.482251 0.625995
5.13333  -0.473807 0.649287
5.2  -0.465807 0.671093
5.26667  -0.458201 0.691623
5.33333  -0.451126 0.710785
5.4  -0.444637 0.728599
5.46667  -0.438774 0.745097
5.53333  -0.433567 0.760314
5.6  -0.429082 0.774234
5.66667  -0.425225 0.787029
5.73333  -0.422043 0.798684
5.8  -0.419527 0.809254
5.86667  -0.417697 0.818753
5.93333  -0.416452 0.82732
6  -0.415805 0.83497
6.06667  -0.415727 0.841757
6.13333  -0.41621 0.847708
6.2  -0.417167 0.852933
6.26667  -0.418591 0.857455
6.33333  -0.420447 0.861323
6.4  -0.42272 0.864564
6.46667  -0.425338 0.867263
6.53333  -0.428288 0.869442
6.6  -0.43154 0.87114
6.66667  -0.435076 0.872381
6.73333  -0.438843 0.873228
6.8  -0.442828 0.873699
6.86667  -0.447007 0.873824
6.93333  -0.451365 0.873623
7  -0.455863 0.873139
7.06667  -0.460491 0.872388
7.13333  -0.465238 0.871385
7.2  -0.470075 0.870165
7.26667  -0.474992 0.868738
7.33333  -0.479976 0.867123
7.4  -0.485019 0.865332
7.46667  -0.490101 0.863387
7.53333  -0.495215 0.861298
7.6  -0.500354 0.859078
7.66667  -0.505511 0.856734
7.73333  -0.510673 0.854283
7.8  -0.515836 0.851732
7.86667  -0.520994 0.849089
7.93333  -0.526144 0.846361
8  -0.531277 0.843558
8.06667  -0.53639 0.840686
8.13333  -0.541481 0.837751
8.2  -0.546546 0.834756
8.26667  -0.55158 0.83171
8.33333  -0.556583 0.828617
8.4  -0.561552 0.825479
8.46667  -0.566484 0.822302
8.53333  -0.571378 0.81909
8.6  -0.576233 0.815845
8.66667  -0.581048 0.81257
8.73333  -0.58582 0.809269
8.8  -0.59055 0.805944
8.86667  -0.595236 0.802597
8.93333  -0.599879 0.79923
9  -0.604477 0.795846
9.06667  -0.609031 0.792447
9.13333  -0.613539 0.789033
9.2  -0.618003 0.785606
9.26667  -0.622421 0.782169
9.33333  -0.626794 0.778722
9.4  -0.631122 0.775266
9.46667  -0.635405 0.771802
9.53333  -0.639642 0.768333
9.6  -0.643835 0.764858
9.66667  -0.647984 0.761378
9.73333  -0.652088 0.757894
9.8  -0.656148 0.754407
9.86667  -0.660165 0.750918
9.93333  -0.664138 0.747427
10  -0.668068 0.743935
10.0667  -0.671956 0.740442
10.1333  -0.675802 0.736949
10.2  -0.679605 0.733457
10.2667  -0.683368 0.729965
10.3333  -0.687089 0.726475
10.4  -0.69077 0.722986
10.4667  -0.69441 0.719499
10.5333  -0.698011 0.716014
10.6  -0.701573 0.712532
10.6667  -0.705096 0.709053
10.7333  -0.70858 0.705577
10.8  -0.712026 0.702105
10.8667  -0.715435 0.698636
10.9333  -0.718807 0.695171
11  -0.722141 0.69171
11.0667  -0.72544 0.688254
11.1333  -0.728702 0.684802
11.2  -0.73193 0.681354
11.2667  -0.735122 0.677912
11.3333  -0.738279 0.674474
11.4  -0.741402 0.671042
11.4667  -0.744492 0.667615
11.5333  -0.747548 0.664193
11.6  -0.750571 0.660776
11.6667  -0.753561 0.657366
11.7333  -0.756519 0.653961
11.8  -0.759445 0.650561
11.8667  -0.762339 0.647168
11.9333  -0.765203 0.643781
12  -0.768035 0.6404
12.0667  -0.770838 0.637025
12.1333  -0.77361 0.633656
12.2  -0.776352 0.630294
12.2667  -0.779065 0.626938
12.3333  -0.781749 0.623589
12.4  -0.784404 0.620246
12.4667  -0.787031 0.61691
12.5333  -0.78963 0.613581
12.6  -0.792201 0.610258
12.6667  -0.794744 0.606942
12.7333  -0.797261 0.603633
12.8  -0.799751 0.60033
12.8667  -0.802214 0.597035
12.9333  -0.804651 0.593746
13  -0.807062 0.590465
13.0667  -0.809448 0.587191
13.1333  -0.811808 0.583923
13.2  -0.814143 0.580663
13.2667  -0.816454 0.57741
13.3333  -0.81874 0.574164
13.4  -0.821002 0.570925
13.4667  -0.82324 0.567693
13.5333  -0.825454 0.564469
13.6  -0.827645 0.561252
13.6667  -0.829812 0.558042
13.7333  -0.831957 0.554839
13.8  -0.834079 0.551644
13.8667  -0.836179 0.548456
13.9333  -0.838256 0.545276
14  -0.840312 0.542103
