Energy[MeV]     Xsec%Diff       Error
38
2.76822         6.99159         9.2724
3.1205          23.0078         1.58471
3.51761         26.7124         0.928961
3.96525         7.28598         0.557604
4.46986         21.2298         0.332749
5.03869         19.4815         0.262594
5.67991         15.5202         0.253591
6.40273         16.5369         0.256561
7.21753         15.0531         0.272476
8.13602         13.7882         0.29938
9.1714          11.6589         0.326525
10.3385         11.3887         0.36781
11.6542         12.9294         0.415049
13.1373         12.7991         0.473601
14.8091         10.7259         0.528901
16.6937         9.97365         0.570864
18.8182         8.04755         0.58267
21.2129         7.77817         0.563821
23.9125         7.21041         0.54106
26.9555         7.30848         0.532196
30.3858         7.69796         0.530849
34.2527         7.90987         0.525016
38.6116         9.8438          0.525461
43.5253         10.8732         0.535018
49.0643         10.9107         0.559165
55.3081         11.1756         0.588995
62.3466         11.1341         0.627689
70.2807         11.9606         0.681141
79.2245         12.622          0.750599
89.3065         11.3863         0.848468
100.672         11.0178         0.955955
113.483         13.2922         1.14082
127.924         11.298          1.27718
144.204         13.659          1.48519
162.555         15.2328         1.73508
183.242         16.7699         1.87722
206.561         14.2709         2.02343
232.847         12.5299         2.14947
