15.65 -1
Lombardi et al, Nucl. Phys. A188, 103 (1972) from plot
27 X
90.64 .223 .074
97.08 -.006 .074
105.46 -.106 .074
112.73 -.267 .074
119.63 .134 .136
127.54 .590 .111
134.90 .304 .111
142.63 .043 .062
150.46 .260 .074
157.36 .627 .074
25.0 1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________
47 X
10.24 10700 -2.9 
12.80 4860  -2.7
15.36 2794  -3.2
17.91 1766  -2.4
20.47 1121  -2.4
23.03 667.5 -2.4
25.58 355.2 -2.5
28.14 174.5 -2.5
30.69 68.51 -2.5
33.24 24.93 -2.6
35.79 19.75 -3.3
38.34 39.88 -3.3
40.89 66.24 -2.6
43.43 91.41 -2.5
45.98 107.6 -2.5
48.52 113.5 -2.4
51.06 112.7 -2.3
53.59 100.3  -2.4
56.13 86.19 -2.7
58.66 68.23 -2.4
61.19 51.13 -2.5
63.72 38.46 -3.3
66.25 24.74 -3.2
68.77 18.42 -3.4
71.30 14.68 -3.1
72.82 10.65 -3.1
76.33 11.09 -2.6
78.85 11.71 -3.1
81.36 12.42 -2.6
86.37 12.91 -2.6
91.38 13.09 -3.5
96.37 10.31 -3.4 
101.36 7.854 -3.3
106.33 5.779 -3.5
111.30 4.108 -3.4
116.25 2.800 -2.6
121.19 2.095 -2.4
126.13 1.417 -2.8
131.06 1.281 -3.1
135.97 1.299 -3.8
140.89 1.656 -3.3
145.79 2.030 -3.0
150.69 2.232 -2.5
155.58 2.326 -2.6
160.47 2.308 -2.5
165.36 2.237 -2.8
170.24 1.781 -3.0
0 A
26.3 1
Watson Nucl Phys A92, 193(1967) table+McCamis et al, PRC 33 1624 (1986)table
60 X
15.7 2373. -2.6
18.2 1485. -2.6
20.7 914.2 -2.7
22.8 644.0 -2.7
25.4 329.2 -3.8
27.9 145.8 -4.8
30.5 52.22 -6.5
33.0 14.61 -6.3
35.7 15.99 -3.5
38.2 37.04 -3.7
40.7 64.42 -2.5
43.2 88.32 -1.7
45.9 105.3 -1.3
48.6 107.5 -1.2
50.9 102.9 -1.2
53.5 90.78 -1.4
56.0 75.11 -1.6
58.4 59.57 -1.8
60.9 43.72 -2.4
63.5 30.88 -2.2
66.0 20.95 -2.3
68.6 14.90 -2.0
71.1 12.10 -1.6
73.6 11.09 -1.5
76.0 11.03 -1.5
78.6 11.81 -1.5
81.1 12.28 -1.3
83.6 12.51 -1.4
86.1 12.30 -1.4
88.8 11.56 -1.4
91.2 10.74 -2.3
93.6 9.559 -1.6
96.1 8.236 -1.7
99.0 6.816 -1.9
101.2 5.459 -3.7
103.9 4.243 -1.7
106.4 3.617 -1.7
108.9 3.260 -1.7
111.2 2.060 -3.3
116.3 2.471 -1.4
118.8 2.359 -1.9
121.3 2.041 -2.0
123.8 1.743 -2.1
126.2 1.561 -4.9
128.7 1.303 -2.3
131.1 1.115 -3.3
133.6 1.031 -2.4
136.0 1.023 -2.4
138.5 1.002 -2.5
141.0 1.152 -2.8
143.4 1.229 -2.1
145.9 1.486 -2.0
148.3 1.656 -1.8
150.7 1.789 -3.0
153.2 1.955 -2.9
155.6 1.999 -2.4
158.1 2.086 -1.7
160.6 2.065 -1.7
163.0 2.035 -1.7
165.5 1.977 -1.7
30 A
20.5 -.179 .033
25.6 -.235 .023
30.7 -.469 .050
33.3 -.394 .033
35.8 -.017 .036
40.9 .152 .031
46.0 -.008 .022
51.1 -.132 .018
53.6 -.176 .023
56.2 -.230 0.017
61.2 -.308 .022
66.3 -.394 .019
71.3 -.107 .022
76.4 .272 .024
81.4 .493 .024
86.4 .424 .032
91.4 .250 .018
96.4 .046 .021
101.4 -.106 .019
106.4 -.177 .040
113.3 0.009 .038
116.3 .407 .046
121.3 .749 .041
126.2 .945 .100
131.1 .794 .064
138.0 .205 .091
140.9 .003 .130
145.8 -.026 .170
150.7 -.053 .140
157.6 0.021 .100
30.0 1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________from table
47 X
10.24 7832. -4.1
12.80 4055. -3.9
15.36 2547. -3.6
17.92 1621. -4.3
20.47 1034. -3.5
23.03 589.2 -3.9
25.59 299.9 -3.6
28.14 132.3 -4.0
30.69 46.85 -3.5
33.25 29.39 -4.1
35.80 45.32 -3.9
38.34 69.90 -3.9
40.89 97.50 -3.5
43.44 113.9 -3.8
45.98 117.9 -3.6
48.52 114.8 -3.2
51.06 95.78 -2.6
53.60 77.31 -3.2
56.14 60.96 -3.0
58.67 43.07 -3.8
61.20 28.99 -2.9
63.73 20.29 -3.4
66.26 14.24 -2.7
68.78 10.58 -3.6
71.30 10.47 -2.4
73.82 11.26 -2.7
