0 19.3194 1.3455 50 1.25 0.6 6.5 1 0.539988 0 1.23382 0.0216587 5.75 0 1 0.675311 
1 5.3496 1.3455 50 1.125 0.8 11 1 0.539988 0 1.23382 0.0216587 20 0 1.375 0.675311 
2 7.82777 1.3455 50 1.25 0.6 6.5 1.1 0.539988 0 1.23382 0.0216587 5.75 0 1 0.675311 
3 10.3845 1.3455 50 1.25 0.7 6.5 1.4 0.539988 0 1.23382 0.0216587 5.75 0 1 0.675311 
4 9.03669 1.3455 35 1.375 0.8 6.5 1.3 0.539988 0 1.23382 0.0216587 20 0 1.25 0.675311 
5 11.3681 1.3455 35 1.375 0.6 6.5 1.2 0.539988 0 1.23382 0.0216587 20 0 1.125 0.675311 
6 4.61278 1.3455 50 1.125 0.9 11 1.1 0.539988 0 1.23382 0.0216587 10.5 0 1.25 0.675311 
7 4.36475 1.3455 35 1.375 0.6 11 1.1 0.539988 0 1.23382 0.0216587 10.5 0 1.125 0.675311 
8 5.61034 1.3455 50 1.125 0.8 11 1.1 0.539988 0 1.23382 0.0216587 10.5 0 1.375 0.675311 
9 1.85289 1.3455 50 1.125 0.8 11 1.1 0.539988 0 1.23382 0.0216587 5.75 0 1.375 0.675311 
10 3.70553 1.3455 50 1.125 0.8 11 1.2 0.539988 0 1.23382 0.0216587 1 0 1.5 0.675311 
