17.57 35
78.85 11.87 1.187
81.37 11.59 1.159
86.38 10.64 1.064
91.39 7.404 0.7404
96.38 3.709 0.3709
101.36 2.555 0.2555
106.34 1.938 0.1938
111.3 1.924 0.1924
116.26 1.987 0.1987
121.2 1.794 0.1794
126.14 1.318 0.1318
131.06 0.793 0.0793
135.98 0.48 0.048
140.89 0.479 0.0479
145.79 0.733 0.0733
150.69 1.069 0.1069
155.59 1.313 0.1313
160.47 1.398 0.1398
165.36 1.361 0.1361
170.24 1.18 0.118
35 47
10.24 5562 556.2
12.8 3426 342.6
15.36 2354 235.4
17.92 1525 152.5
20.48 959.1 95.91
23.03 525.5 52.55
25.59 267.4 26.74
28.14 106.6 10.66
30.7 47.86 4.786
33.25 38.42 3.842
35.8 58.79 5.879
38.35 77.85 7.785
40.9 94.19 9.419
43.44 99.49 9.949
45.99 99.59 9.959
48.53 81.66 8.166
51.07 67.73 6.773
53.61 47.41 4.741
56.14 35.11 3.511
58.68 22.01 2.201
61.21 15.05 1.505
63.74 9.683 0.9683
66.26 8.718 0.8718
68.79 8.5 0.85
71.31 8.606 0.8606
73.83 8.355 0.8355
76.35 8.252 0.8252
78.86 8.004 0.8004
81.37 7.681 0.7681
86.39 5.608 0.5608
91.39 3.286 0.3286
96.39 2.015 0.2015
101.37 1.25 0.125
106.35 1.128 0.1128
111.31 1.119 0.1119
116.26 1.109 0.1109
121.21 0.864 0.0864
126.14 0.521 0.0521
131.07 0.305 0.0305
135.98 0.169 0.0169
140.89 0.183 0.0183
145.8 0.398 0.0398
150.7 0.564 0.0564
155.59 0.683 0.0683
160.48 0.706 0.0706
165.36 0.666 0.0666
170.24 0.402 0.0402
40 44
10.26 5665 566.5
12.8 3709 370.9
15.36 2407 240.7
17.92 1691 169.1
20.48 983.3 98.33
23.04 516.1 51.61
25.59 229 22.9
28.15 101.4 10.14
30.7 65.5 6.55
33.25 59.8 5.98
35.8 71.8 7.18
38.35 97.7 9.77
40.9 103.4 10.34
43.45 97.4 9.74
45.99 77.3 7.73
48.53 62.52 6.252
51.07 44.81 4.481
53.61 31.58 3.158
56.15 21.28 2.128
58.68 13.14 1.314
61.21 9.437 0.9437
63.74 8.423 0.8423
66.27 8.356 0.8356
68.79 8.515 0.8515
71.32 8.094 0.8094
73.84 7.759 0.7759
76.35 6.528 0.6528
78.87 5.597 0.5597
81.38 4.335 0.4335
86.39 2.298 0.2298
91.4 1.349 0.1349
96.39 1.05 0.105
101.38 0.979 0.0979
106.35 0.913 0.0913
111.32 0.684 0.0684
116.27 0.431 0.0431
121.21 0.333 0.0333
126.15 0.235 0.0235
135.99 0.155 0.0155
140.9 0.167 0.0167
145.8 0.205 0.0205
160.48 0.261 0.0261
165.39 0.21 0.021
170.24 0.114 0.0114
45 47
10.24 4556 455.6
12.8 2963 296.3
15.36 2180 218
17.92 1347 134.7
20.48 852 85.2
23.04 397.4 39.74
25.6 200.3 20.03
28.15 75.29 7.529
30.7 52.44 5.244
33.26 61.67 6.167
35.81 77.79 7.779
38.36 84.51 8.451
40.9 89.48 8.948
43.45 78.8 7.88
46 63.27 6.327
48.54 42.16 4.216
51.08 30.23 3.023
53.62 17.39 1.739
56.15 12.13 1.213
58.69 8.029 0.8029
61.22 7.808 0.7808
63.75 7.552 0.7552
66.28 7.232 0.7232
68.8 7.088 0.7088
71.32 6.156 0.6156
73.84 4.864 0.4864
76.36 4.01 0.401
78.87 2.889 0.2889
81.39 2.305 0.2305
86.4 1.117 0.1117
91.41 0.976 0.0976
96.4 0.872 0.0872
101.39 0.749 0.0749
106.36 0.514 0.0514
111.32 0.298 0.0298
116.27 0.186 0.0186
121.22 0.143 0.0143
126.15 0.146 0.0146
131.08 0.148 0.0148
135.99 0.121 0.0121
140.9 0.098 0.0098
145.81 0.074 0.0074
150.7 0.073 0.0073
155.59 0.075 0.0075
160.48 0.073 0.0073
165.36 0.059 0.0059
170.24 0.035 0.0035
48 47
10.3 5492 549.2
14.9 2236 223.6
16 2166 216.6
17.4 1423 142.3
20 806.1 80.61
21.1 700.1 70.01
22.6 418.8 41.88
25.1 174.3 17.43
25.6 154.4 15.44
26.2 131 13.1
27.7 70.42 7.042
30.2 44.48 4.448
30.8 40.58 4.058
32.8 55.42 5.542
35.9 68.98 6.898
41 75.05 7.505
46.1 46.27 4.627
50.6 18.15 1.815
51.2 19.98 1.998
55.6 7.611 0.7611
60.7 6.059 0.6059
61.3 5.825 0.5825
66.4 5.212 0.5212
71.4 4.234 0.4234
76.5 2.386 0.2386
81.5 1.258 0.1258
86.5 0.822 0.0822
91.5 0.711 0.0711
96.5 0.617 0.0617
101.5 0.445 0.0445
106.5 0.27 0.027
111.4 0.158 0.0158
114.4 0.116 0.0116
117 0.093 0.0093
119.4 0.095 0.0095
121.9 0.097 0.0097
124.4 0.104 0.0104
126.2 0.1 0.01
131.2 0.115 0.0115
136.8 0.078 0.0078
141.5 0.049 0.0049
146.4 0.029 0.0029
151.2 0.023 0.0023
156.3 0.03 0.003
161.2 0.034 0.0034
166 0.03 0.003
170.8 0.016 0.0016
61.4 35
29.7 46.1 4.61
31.8 56.5 5.65
32.8 60.3 6.03
33.8 60.6 6.06
35.8 56.5 5.65
37.9 40.4 4.04
42 29.1 2.91
44 20.4 2.04
46 12.5 1.25
48.1 7.84 0.784
50.1 5.62 0.562
52.1 4.66 0.466
54.2 4.5 0.45
56.2 3.9 0.39
57.2 3.91 0.391
60.3 3.21 0.321
63.3 2.88 0.288
64.3 2.31 0.231
67.3 1.6 0.16
69.3 1.25 0.125
71.4 0.918 0.0918
73.4 0.701 0.0701
75.4 0.648 0.0648
77.4 0.535 0.0535
81.4 0.467 0.0467
83.4 0.442 0.0442
85.4 0.406 0.0406
87.4 0.323 0.0323
89.4 0.283 0.0283
91.4 0.199 0.0199
93.4 0.149 0.0149
95.4 0.124 0.0124
99.4 0.0686 0.00686
103.4 0.0364 0.00364
107.4 0.0415 0.00415
65 35
15.17 1520 152
16.2 1242 124.2
17.22 959.2 95.92
18.24 738.9 73.89
19.27 553.7 55.37
20.29 388.3 38.83
21.31 283.2 28.32
22.34 190.5 19.05
23.36 125.2 12.52
25.41 52.18 5.218
26.43 36.55 3.655
27.45 33.21 3.321
28.47 30.48 3.048
29.5 34.18 3.418
30.52 39.4 3.94
33.07 47.41 4.741
35.88 47.7 4.77
38.17 40.44 4.044
40.99 27.97 2.797
43.27 17.51 1.751
46.09 9.899 0.9899
51.18 4.29 0.429
53.44 3.678 0.3678
56.26 3.69 0.369
58.51 3.072 0.3072
61.33 2.68 0.268
66.4 1.33 0.133
76.49 0.552 0.0552
81.52 0.487 0.0487
86.53 0.318 0.0318
89.17 0.2875 0.02875
91.64 0.1523 0.01523
94.31 0.1 0.01
96.57 0.0656 0.00656
98.97 0.043 0.0043
80.2 44
7.16 4008.15 400.815
9.38 3088.1 308.81
11.47 2478.87 247.887
13.63 1748.38 174.838
15.79 973.83 97.383
17.88 540.136 54.0136
19.71 271.34 27.134
21.81 111.72 11.172
23.97 40.25 4.025
26.06 24.02 2.402
27.89 27.56 2.756
30.05 31.4 3.14
32.14 35.47 3.547
34.3 32.93 3.293
36.2 26.44 2.644
38.36 18 1.8
40.45 10.89 1.089
42.29 6.9 0.69
44.44 4.305 0.4305
46.34 3.306 0.3306
48.5 2.838 0.2838
50.46 2.68 0.268
52.62 2.61 0.261
54.59 2.141 0.2141
56.68 1.667 0.1667
58.64 1.196 0.1196
60.6 0.816 0.0816
62.7 0.586 0.0586
64.85 0.4192 0.04192
66.95 0.357 0.0357
68.78 0.34 0.034
71.07 0.321 0.0321
73.04 0.292 0.0292
75 0.266 0.0266
76.96 0.22 0.022
78.92 0.2029 0.02029
81.21 0.111 0.0111
83.17 0.0744 0.00744
85.27 0.0486 0.00486
87.1 0.03105 0.003105
88.73 0.0227 0.00227
91.15 0.0197 0.00197
92.99 0.02 0.002
94.95 0.0198 0.00198
100.6 23
10.08 2414 241.4
10.49 2171 217.1
12.13 1648 164.8
12.54 1562 156.2
14.19 1015 101.5
14.6 872 87.2
16.24 535.3 53.53
16.65 422.9 42.29
18.71 168.7 16.87
22.79 20.55 2.055
24.84 21.68 2.168
26.89 28.79 2.879
30.98 27.82 2.782
35.08 12.5 1.25
39.16 4.301 0.4301
43.25 2.362 0.2362
47.32 1.883 0.1883
51.39 1.04 0.104
55.46 0.4803 0.04803
59.52 0.283 0.0283
63.57 0.2326 0.02326
67.62 0.1665 0.01665
71.65 0.08274 0.008274
135.1 43
8.28 2041 204.1
10.57 1222.9 122.29
12.27 791.46 79.146
15.11 153.78 15.378
17.01 76.71 7.671
18.91 22.77 2.277
20.88 15.38 1.538
23.04 20.043 2.0043
25.14 20.15 2.015
27.31 17.33 1.733
29.61 11.26 1.126
31.58 6.582 0.6582
33.08 4.126 0.4126
35.18 2.7 0.27
37.18 1.656 0.1656
39.32 1.495 0.1495
41.62 1.135 0.1135
43.39 0.832 0.0832
45.69 0.549 0.0549
47.45 0.357 0.0357
49.49 0.266 0.0266
51.57 0.211 0.0211
53.89 0.174 0.0174
55.85 0.139 0.0139
57.82 0.0966 0.00966
60 0.06 0.006
61.76 0.02088 0.002088
63.73 0.0187 0.00187
65.83 0.01125 0.001125
68.19 0.00846 0.000846
69.96 0.00908 0.000908
72.26 0.00819 0.000819
74.03 0.00747 0.000747
76.33 0.00548 0.000548
78.37 0.00421 0.000421
80.14 0.00231 0.000231
82.43 0.001188 0.0001188
84.08 0.000526 5.26e-05
86.18 0.000261 3.132e-05
87.81 0.00025 3e-05
89.65 0.000223 2.676e-05
92.08 0.000402 4.422e-05
94.11 0.000487 4.87e-05
152 28
7.8125 1383.88 138.388
10.5495 874.202 87.4202
13.0247 304.548 30.4548
15.7109 90.0946 9.00946
17.5555 22.9565 2.29565
18.24 17.8352 1.78352
19.4509 12.8677 1.28677
20.7134 14.5057 1.45057
21.9231 17.6141 1.76141
23.2384 17.6292 1.76292
25.8698 13.3118 1.33118
28.5542 8.4089 0.84089
29.7651 5.802 0.5802
31.0288 3.9444 0.39444
33.6086 1.823 0.1823
36.0826 1.1344 0.11344
