21. 1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________from table
47 X
155.54  0.038  -4.2
160.44  0.046  -3.8
165.33  0.048  -5.2
170.22  0.032  -4.6
0 A
48.4  1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________from table
47 X
10.22 4467. -2.9
12.78 3057.  -4.3
15.33  2120. -2.9
17.89  1246.  -3.0
20.44  688.5  -2.8
22.99  311.8  -3.2
25.54  111.9  -2.9
28.09   52.54 -2.9
30.64   56.48 -2.8
33.19   81.02  -2.9
35.74   94.26  -2.8
38.28   94.25  -2.9
40.83   82.08  -2.8
43.37   61.58  -3.0
45.91   40.93  -3.0
48.45   24.35  -3.3
50.98   13.90  -3.0
53.52    9.046  -3.4
56.05    6.995  -2.9
58.58    6.951  -3.0
61.11    7.063  -2.9
63.64    7.096  -2.9
66.16    6.310  -3.1
68.69    5.334  -3.1
71.21    4.207  -3.2
73.72    3.043  -3.4
76.24    2.144  -3.8
78.75    1.558  -4.6
81.26    1.126  -3.9
86.28    0.640  -5.4
91.28    0.494  -4.9
96.28    0.429  -6.4
101.26   0.390  -3.5
106.24   0.219  -4.5
111.21   0.130  -3.3
116.16   0.108  -3.0
121.11   0.102  -3.0
126.05   0.093  -3.3
130.98   0.078  -3.3
135.91   0.052  -3.7
140.82   0.033  -4.0
145.74   0.018  -5.6
150.64   0.015  -4.3
155.54   0.019  -4.6
160.44   0.024  -3.9
165.33   0.024  -7.2
170.22   0.021  -4.4
0 A
65 1
Sakaguchi et al., Phys. Rev. C 26, 944 (1982) _________from table
28 X
14.75 1460. -4.
15.79 1160. -4.
17.86 781.  -4.
19.10 476.  -4.
20.54 332.  -4.
21.58 210.  -4.
22.40 138.  -4.
23.44  81.3 -4.
24.26  53.5  -4.
25.71  33.3  -4.
26.33  28.0  -4.
27.36  30.8  -4.
28.60  35.2  -4.
29.64  41.8  -4.
30.67  46.8  -4.
33.36  55.6  -4.
35.84  51.5  -4.
38.11  39.5  -4.
40.80  25.5  -4.
43.49  13.4  -4.
45.97   7.27 -4.
48.45   4.52 -4.
51.14   3.88  -4.
53.20   3.88  -4.
55.89   3.81  -4.
58.79   3.09  -4.
61.27   2.41  -4.
65.81   1.04  -4.
30 A
14.91 -1.18e-3 .1
15.85 -2.19e-2 .1
17.53 -5.92e-2 .1
19.09 -8.82e-2 .1
20.14 -1.30e-1 .1
21.29 -1.42e-1 .1
22.02 -1.59e-1 .1
23.17 -1.42e-1 .1
24.11  7.10e-3 .1
25.37  .338    .1
26.41  .678    .1
27.46  .836    .1
28.40  .856    .1
29.34  .773    .1
30.38  .744    .1
30.38  .720    .1
33.00  .570    .1
35.51  .459    .1
38.22  .384    .1
40.73  .322    .1
43.14  .305    .1
45.85  .413    .1
48.36  .691    .1
50.87  .951    .1
53.59  1.0     .1
56.10  .951    .1
58.61  .869    .1
61.22  .831    .1
66.34  .691    .0165
71.25  .686    .027
65. 1
Noro Nuc Phys A366, 189 (1981) from DARPE
28 X
15.16 1.507E+03 1.838E+00
16.18 1.170E+03 3.721E+00
17.72 7.890E+02 8.105E-01
19.25 4.818E+02 2.354E+00
20.27 3.388E+02 8.524E-01
21.30 2.165E+02 9.813E-01
22.32 1.425E+02 4.132E-01
23.34 8.404E+01 5.546E-01
24.37 5.398E+01 2.577E-01
25.39 3.409E+01 3.449E-01
26.41 2.813E+01 2.556E-01
27.43 3.203E+01 2.368E-01
29.48 4.286E+01 3.143E-01
30.50 4.878E+01 1.564E-01
33.05 5.712E+01 2.014E-01
35.60 5.214E+01 2.810E-01
38.15 3.968E+01 1.230E-01
40.70 2.557E+01 1.940E-01
43.24 1.410E+01 7.165E-02
45.79 7.400E+00 7.517E-02
48.33 4.650E+00 3.674E-02
50.87 4.099E+00 3.929E-02
53.41 4.019E+00 3.482E-02
55.94 3.878E+00 3.428E-02
58.48 3.225E+00 3.109E-02
61.01 2.529E+00 2.186E-02
66.07 1.102E+00 1.281E-02
71.11 5.768E-01 9.429E-03
29 A
15.16 0.0002 0.0064
16.18 -0.0236 0.0049
17.72 -0.0580 0.0070
19.25 -0.0945 0.0070
20.27 -0.1273 0.0040
21.30 -0.1500 0.0061
22.32 -0.1607 0.0049
23.34 -0.1410 0.0089
24.37 0.0760 0.0079
25.39 0.3364 0.0131
26.41 0.6753 0.0120
27.43 0.8352 0.0131
28.45 0.8497 0.0110
29.48 0.7771 0.0131
30.50 0.7337 0.0061
33.05 0.5634 0.0070
35.60 0.4633 0.0089
38.15 0.3791 0.0061
40.70 0.3209 0.0110
43.24 0.3124 0.0079
45.79 0.4082 0.0140
48.33 0.6949 0.0118
50.87 0.9536 0.0140
53.41 1.0046 0.0131
55.94 0.9522 0.0131
58.48 0.8675 0.0140
61.01 0.8294 0.0131
66.07 0.7034 0.0160
71.11 0.6940 0.0210
-1 -1
 
