9 19
30 1085 108.5
37.5 546 54.6
45 330 33
52.5 184 18.4
60 98 9.8
67.5 48 4.8
75 19.9 1.99
82.5 8 0.8
90 5.4 0.54
97.5 9.9 0.99
105 13.2 1.32
112.5 13.1 1.31
120 14.5 1.45
127.5 12.2 1.22
135 11.1 1.11
142.5 9 0.9
150 7.5 0.75
157.5 6.6 0.66
165 5.9 0.59
10.75 28
30.3 856.6 85.66
35.6 547.28 54.728
40.9 338.554 33.8554
46.2 234.961 23.4961
51.6 149.331 14.9331
55.9 115.359 11.5359
61.5 58.4747 5.84747
66.9 41.0273 4.10273
70.1 22.2961 2.22961
76.3 13.0709 1.30709
81.9 4.63001 0.463001
85.9 3.96371 0.396371
89.9 4.47693 0.447693
95.2 6.40004 0.640004
100.4 9.9715 0.99715
105.6 11.8847 1.18847
109.6 14.8496 1.48496
115.2 14.6712 1.46712
120.2 14.5046 1.45046
125.6 12.7113 1.27113
132.2 9.85 0.985
135 8.15602 0.815602
140.6 5.76311 0.576311
146.2 3.96391 0.396391
150.3 3.38716 0.338716
154.4 2.45639 0.245639
159.8 2.03092 0.203092
164.1 2.30865 0.230865
12 18
30 886 88.6
37.5 401 40.1
45 202 20.2
52.5 97 9.7
60 56 5.6
67.5 27.9 2.79
75 10.2 1.02
90 3.7 0.37
97.5 7.7 0.77
105 9.7 0.97
112.5 11.3 1.13
120 9 0.9
127.5 6.4 0.64
135 3.7 0.37
142.5 2.05 0.205
150 2.03 0.203
157.5 2.54 0.254
165 3.02 0.302
14.15 26
40 179.808 3.59617
45.4 117.386 2.34773
50.8 85.5176 1.71035
55.2 69.0984 1.38197
61.6 50.5093 1.01019
66 32.8993 0.657986
71.4 22.4521 0.449042
76.8 9.71403 0.194281
80.6 4.30419 0.0860838
84.9 2.79511 0.0559021
91.4 4.41133 0.0882265
95.7 7.66157 0.153231
99.5 11.5933 0.231865
104.9 13.1787 0.263573
110.3 12.5043 0.250086
115.7 10.9784 0.219568
121.1 9.05586 0.181117
126.6 6.81471 0.136294
130.9 4.22483 0.0844966
134.7 2.19433 0.0438866
140.1 1.70429 0.0340859
145.5 2.08532 0.0417064
150.9 2.96599 0.0593198
156.3 3.78459 0.0756918
161.7 5.05514 0.101103
164.4 6.18586 0.123717
15.61 26
36.1 169.366 3.38732
39.9 115.18 2.30361
45.1 94.7719 1.89544
50.4 83.9822 1.67964
54.4 80.4822 1.60964
60.8 54.272 1.08544
65.2 38.8256 0.776511
69.3 21.022 0.42044
75 7.29761 0.145952
80.6 2.80526 0.10342
85.9 3.86284 0.0839749
91 6.98464 0.139693
94.8 11.975 0.2395
98.3 12.9708 0.259416
103.5 13.4489 0.268978
108.9 11.3896 0.227792
114.5 8.49174 0.169835
120.1 6.23763 0.124753
124.8 3.16917 0.0633834
131.6 1.41529 0.0283058
134.4 0.817599 0.0250605
139.6 1.3911 0.0278221
144.8 2.37062 0.0474125
148.7 3.80767 0.0761535
153.8 4.72137 0.0944274
158.8 5.86033 0.117207
21 47
10.22 14790 295.8
12.77 6046 120.92
15.32 3139 62.78
17.88 1881 37.62
20.43 1112 22.24
22.98 651.2 13.024
25.53 375.9 7.518
28.08 212.7 4.254
30.63 114.8 2.296
33.17 64.45 1.289
35.72 43.49 0.8698
38.26 47.6 0.952
40.8 60.25 1.205
43.34 75.67 1.5134
45.88 86.84 1.7368
48.42 93.76 1.8752
50.96 90.68 1.8136
53.49 80.56 1.6112
56.02 67.9 1.358
58.55 54.63 1.0926
61.08 40.84 0.8168
63.61 28.38 0.5676
66.13 18.62 0.3724
68.65 11.16 0.2232
71.17 7.27 0.1454
73.69 5.463 0.10926
76.21 5.699 0.11398
78.72 6.892 0.13784
81.23 7.772 0.15544
86.24 11.13 0.2226
91.25 12.03 0.2406
96.24 10.33 0.2066
101.23 8.23 0.1646
106.21 5.141 0.10282
111.17 2.838 0.05676
116.13 1.734 0.03468
121.08 1.233 0.02466
126.02 1.186 0.02372
130.96 1.479 0.02958
135.88 1.924 0.03848
140.8 2.148 0.04296
145.72 2.218 0.04436
150.62 2.169 0.04338
155.53 2.026 0.04052
160.43 1.706 0.03412
165.32 1.499 0.02998
170.22 0.96 0.0192
25 46
10.22 10660 213.2
12.77 4880 97.6
15.32 2765 55.3
17.88 1732 34.64
20.43 1010 20.2
22.98 615 12.3
25.53 319.2 6.384
28.08 147.8 2.956
30.63 53.2 1.064
33.17 24.59 0.4918
35.72 30.81 0.6162
38.26 51.16 1.0232
40.81 79.32 1.5864
43.35 99.98 1.9996
45.89 107.4 2.148
48.43 108.1 2.162
50.96 94.5 1.89
53.5 77.32 1.5464
56.03 58.05 1.161
58.56 42.34 0.8468
61.09 28.54 0.5708
63.61 17.56 0.3512
66.14 11.24 0.2248
71.18 7.007 0.14014
73.7 8.332 0.16664
76.21 9.646 0.19292
78.73 11.12 0.2224
81.24 12.26 0.2452
86.25 11.97 0.2394
91.25 10.25 0.205
96.25 6.281 0.12562
101.24 3.657 0.07314
106.21 2.246 0.04492
111.18 1.515 0.0303
116.14 1.475 0.0295
121.09 1.563 0.03126
126.03 1.54 0.0308
130.96 1.424 0.02848
135.98 1.235 0.0247
140.81 1.113 0.02226
145.72 1.102 0.02204
150.63 1.094 0.02188
155.53 1.125 0.0225
160.43 1.212 0.02424
165.32 1.263 0.02526
170.22 1.425 0.0285
30 47
10.22 7591 151.82
12.77 4184 83.68
15.33 2542 50.84
17.88 1623 32.46
20.43 936 18.72
22.98 524.9 10.498
25.53 229.9 4.598
28.08 82.58 1.6516
30.63 29.72 0.5944
33.18 29.18 0.5836
35.72 51.54 1.0308
38.27 83.56 1.6712
40.81 107 2.14
43.35 116.5 2.33
45.89 114.7 2.294
48.43 102.1 2.042
50.97 79.06 1.5812
53.5 58.52 1.1704
56.03 39.02 0.7804
58.56 24.99 0.4998
61.09 15.56 0.3112
63.62 10.21 0.2042
66.14 8.434 0.16868
68.67 8.332 0.16664
71.19 9.398 0.18796
73.7 10.65 0.213
76.22 11.28 0.2256
78.73 11.55 0.231
81.24 9.998 0.19996
86.26 7.049 0.14098
91.26 4.383 0.08766
96.26 2.562 0.05124
101.24 1.585 0.0317
106.22 1.446 0.02892
111.18 1.538 0.03076
116.14 1.566 0.03132
121.09 1.421 0.02842
126.03 1.002 0.02004
130.97 0.626 0.01252
135.89 0.353 0.00706
140.81 0.303 0.00606
145.72 0.43 0.0086
150.63 0.601 0.01202
155.53 0.743 0.01486
160.43 0.806 0.01612
165.33 0.751 0.01502
170.22 0.6 0.012
40 47
10.22 5966 119.32
12.78 3875 77.5
15.33 2586 51.72
17.88 1603 32.06
20.44 888 17.76
22.99 433.9 8.678
25.54 171.6 3.432
28.09 66.28 1.3256
30.64 45.69 0.9138
33.18 67.24 1.3448
35.73 92.83 1.8566
38.28 109.6 2.192
40.82 110.6 2.212
43.36 99.34 1.9868
45.9 77.68 1.5536
48.44 54.87 1.0974
50.98 34.96 0.6992
53.51 21.33 0.4266
56.04 12.44 0.2488
58.57 9.212 0.18424
61.1 8.318 0.16636
63.63 8.616 0.17232
66.15 8.987 0.17974
68.68 9 0.18
71.2 8.755 0.1751
73.71 7.833 0.15666
76.23 6.267 0.12534
78.74 4.467 0.08934
81.25 3.259 0.06518
86.27 1.832 0.03664
91.27 1.32 0.0264
96.27 1.143 0.02286
101.25 1.116 0.02232
106.23 0.832 0.01664
111.2 0.562 0.01124
116.15 0.341 0.00682
121.1 0.231 0.00462
126.04 0.211 0.00422
130.97 0.201 0.00402
135.9 0.185 0.0037
140.82 0.15 0.003
145.73 0.123 0.00246
150.64 0.117 0.00234
155.54 0.126 0.00252
160.44 0.125 0.0025
165.33 0.106 0.00212
170.22 0.068 0.00136
45 47
10.22 4721 94.42
12.78 3340 66.8
15.33 2370 47.4
17.89 1427 28.54
20.44 772 15.44
22.99 391 7.82
25.54 136.6 2.732
28.09 57.53 1.1506
30.64 53.75 1.075
33.19 77.13 1.5426
35.73 96.17 1.9234
38.28 105.3 2.106
40.82 94.29 1.8858
43.37 76.4 1.528
45.91 52.53 1.0506
48.44 34.26 0.6852
50.98 19.88 0.3976
53.52 12.07 0.2414
56.05 8.123 0.16246
58.58 7.404 0.14808
61.11 7.842 0.15684
63.64 7.886 0.15772
66.16 7.808 0.15616
68.68 6.883 0.13766
71.2 5.771 0.11542
73.72 4.423 0.08846
76.24 3.237 0.06474
78.75 2.383 0.04766
81.26 1.447 0.02894
86.27 0.974 0.01948
91.28 0.818 0.01636
96.27 0.802 0.01604
101.26 0.657 0.01314
106.24 0.409 0.00818
111.2 0.222 0.00444
116.16 0.144 0.00288
121.11 0.131 0.00262
126.05 0.134 0.00268
130.98 0.134 0.00268
135.9 0.098 0.00196
140.82 0.07 0.0014
145.73 0.041 0.00082
150.64 0.031 0.00062
155.54 0.038 0.00076
160.44 0.046 0.00092
165.33 0.048 0.00096
170.22 0.032 0.00064
48.4 47
10.22 4467 89.34
12.78 3057 61.14
15.33 2120 42.4
17.89 1246 24.92
20.44 688.5 13.77
22.99 311.8 6.236
25.54 111.9 2.238
28.09 52.54 1.0508
30.64 56.48 1.1296
33.19 81.02 1.6204
35.74 94.26 1.8852
38.28 94.25 1.885
40.83 82.08 1.6416
43.37 61.58 1.2316
45.91 40.93 0.8186
48.45 24.35 0.487
50.98 13.9 0.278
53.52 9.046 0.18092
56.05 6.995 0.1399
58.58 6.951 0.13902
61.11 7.063 0.14126
63.64 7.096 0.14192
66.16 6.31 0.1262
68.69 5.334 0.10668
71.21 4.207 0.08414
73.72 3.043 0.06086
76.24 2.144 0.04288
78.75 1.558 0.03116
81.26 1.126 0.02252
86.28 0.64 0.0128
91.28 0.494 0.00988
96.28 0.429 0.00858
101.26 0.39 0.0078
106.24 0.219 0.00438
111.21 0.13 0.0026
116.16 0.108 0.00216
121.11 0.102 0.00204
126.05 0.093 0.00186
130.98 0.078 0.00156
135.91 0.052 0.00104
140.82 0.033 0.00066
145.74 0.018 0.00036
150.64 0.015 0.0003
155.54 0.019 0.00038
160.44 0.024 0.00048
165.33 0.024 0.00048
170.22 0.021 0.00042
65 28
15.16 1507 30.14
16.18 1170 23.4
17.72 789 15.78
19.25 481.8 9.636
20.27 338.8 6.776
21.3 216.5 4.33
22.32 142.5 2.85
23.34 84.04 1.6808
24.37 53.98 1.0796
25.39 34.09 0.6818
26.41 28.13 0.5626
27.43 32.03 0.6406
29.48 42.86 0.8572
30.5 48.78 0.9756
33.05 57.12 1.1424
35.6 52.14 1.0428
38.15 39.68 0.7936
40.7 25.57 0.5114
43.24 14.1 0.282
45.79 7.4 0.148
48.33 4.65 0.093
50.87 4.099 0.08198
53.41 4.019 0.08038
55.94 3.878 0.07756
58.48 3.225 0.0645
61.01 2.529 0.05058
66.07 1.102 0.02204
71.11 0.5768 0.011536
