9.9 16
21 0.0859033 0.030563
22 0.092079 0.0312812
23 0.0986519 0.0317427
24 0.105667 0.031884
25 0.113173 0.0316274
26 0.121221 0.0308781
27 0.129866 0.0295197
28 0.139163 0.0274101
29 0.149165 0.0243748
30 0.159917 0.0202004
31 0.171453 0.0146262
32 0.18378 0.00733476
33 0.196869 -0.00205832
34 0.210625 -0.0140139
35 0.224862 -0.029076
36 0.239251 -0.0478724
37 0.253267 -0.0711003
38 0.266109 -0.0994873
39 0.276624 -0.133713
40 0.283231 -0.174269
41 0.283892 -0.22125
42 0.276187 -0.274072
43 0.257568 -0.331179
44 0.225824 -0.389846
45 0.179732 -0.446261
46 0.119683 -0.496015
47 0.0479729 -0.534985
48 -0.0314883 -0.560299
49 -0.114014 -0.570982
50 -0.195174 -0.567976
51 -0.271588 -0.553626
52 -0.341249 -0.530931
53 -0.403419 -0.50288
54 -0.458296 -0.472042
55 -0.506636 -0.440411
56 -0.549446 -0.409416
57 -0.587778 -0.380017
58 -0.622607 -0.352825
59 -0.654772 -0.328214
60 -0.684963 -0.306409
61 -0.71371 -0.287558
62 -0.741399 -0.27178
63 -0.768268 -0.259201
64 -0.794413 -0.24999
65 -0.819782 -0.244376
66 -0.84415 -0.242673
67 -0.867098 -0.245296
68 -0.887962 -0.252784
69 -0.905781 -0.265811
70 -0.919221 -0.285186
71 -0.926503 -0.311843
72 -0.925333 -0.346784
73 -0.912894 -0.390959
74 -0.885945 -0.445054
75 -0.841129 -0.509153
76 -0.7756 -0.58229
77 -0.687993 -0.661973
78 -0.579596 -0.743904
79 -0.455274 -0.822198
80 -0.323477 -0.890325
81 -0.194893 -0.942608
82 -0.0800215 -0.975704
83 0.0132721 -0.989306
84 0.0811158 -0.985801
85 0.123518 -0.969199
86 0.143248 -0.943937
87 0.144448 -0.914015
88 0.131528 -0.882586
89 0.108497 -0.851889
90 0.0786749 -0.823369
91 0.0446564 -0.79787
92 0.00838731 -0.775807
93 -0.0287105 -0.757319
94 -0.0656165 -0.74237
95 -0.101605 -0.730821
96 -0.136162 -0.722483
97 -0.168921 -0.71714
