
& spin up

& Energia: 0.0285612  Momento angular orbital: 4  Momento angular total: 4
1.61  -0.000908388  0.000105936
1.62  -0.000905316  0.000105634
1.63  -0.000901577  0.000105256
1.64  -0.000897163  0.0001048
1.65  -0.000892069  0.000104266
1.66  -0.000886293  0.000103654
1.67  -0.000879829  0.000102962
1.68  -0.000872675  0.000102191
1.69  -0.000864829  0.000101341
1.7  -0.00085629  0.000100411
1.71  -0.000847058  9.94001e-05
1.72  -0.000837133  9.83097e-05
1.73  -0.000826516  9.71393e-05
1.74  -0.00081521  9.58891e-05
1.75  -0.000803217  9.45594e-05
1.76  -0.000790541  9.31506e-05
1.77  -0.000777188  9.16631e-05
1.78  -0.000763162  9.00975e-05
1.79  -0.00074847  8.84545e-05
1.8  -0.000733121  8.67348e-05
1.81  -0.000717121  8.49393e-05
1.82  -0.00070048  8.3069e-05
1.83  -0.000683209  8.1125e-05
1.84  -0.000665317  7.91083e-05
1.85  -0.000646817  7.70204e-05
1.86  -0.000627722  7.48626e-05
1.87  -0.000608045  7.26363e-05
1.88  -0.0005878  7.03431e-05
1.89  -0.000567003  6.79847e-05
1.9  -0.000545669  6.55629e-05
1.91  -0.000523816  6.30795e-05
1.92  -0.000501461  6.05364e-05
1.93  -0.000478622  5.79358e-05
1.94  -0.00045532  5.52797e-05
1.95  -0.000431573  5.25703e-05
1.96  -0.000407403  4.98101e-05
1.97  -0.000382831  4.70013e-05
1.98  -0.000357878  4.41464e-05
1.99  -0.000332569  4.12481e-05
2  -0.000306927  3.83089e-05
2.01  -0.000280975  3.53316e-05
2.02  -0.000254738  3.23189e-05
2.03  -0.000228241  2.92736e-05
2.04  -0.000201512  2.61988e-05
2.05  -0.000174575  2.30973e-05
2.06  -0.000147457  1.99722e-05
2.07  -0.000120187  1.68266e-05
2.08  -9.27907e-05  1.36637e-05
2.09  -6.52977e-05  1.04865e-05
2.1  -3.77359e-05  7.29849e-06
2.11  -1.01344e-05  4.10279e-06
2.12  1.74779e-05  9.02754e-07
2.13  4.50716e-05  -2.29827e-06
2.14  7.2617e-05  -5.49689e-06
2.15  0.000100084  -8.68973e-06
2.16  0.000127444  -1.18733e-05
2.17  0.000154665  -1.50443e-05
2.18  0.000181719  -1.81991e-05
2.19  0.000208574  -2.13344e-05
2.2  0.000235201  -2.44466e-05
2.21  0.000261569  -2.75323e-05
2.22  0.000287649  -3.05881e-05
2.23  0.000313411  -3.36104e-05
2.24  0.000338824  -3.65959e-05
2.25  0.000363861  -3.95412e-05
2.26  0.00038849  -4.24428e-05
2.27  0.000412684  -4.52974e-05
2.28  0.000436414  -4.81017e-05
2.29  0.000459651  -5.08524e-05
2.3  0.000482368  -5.35463e-05
2.31  0.000504538  -5.61801e-05
2.32  0.000526132  -5.87507e-05
2.33  0.000547126  -6.1255e-05
2.34  0.000567494  -6.36899e-05
2.35  0.000587209  -6.60526e-05
2.36  0.000606249  -6.83402e-05
2.37  0.000624588  -7.05497e-05
2.38  0.000642204  -7.26785e-05
2.39  0.000659074  -7.47239e-05
2.4  0.000675177  -7.66833e-05
2.41  0.000690492  -7.85543e-05
2.42  0.000705  -8.03344e-05
2.43  0.00071868  -8.20214e-05
2.44  0.000731516  -8.3613e-05
2.45  0.000743489  -8.51072e-05
2.46  0.000754584  -8.65021e-05
2.47  0.000764786  -8.77956e-05
2.48  0.00077408  -8.89862e-05
2.49  0.000782453  -9.00721e-05
2.5  0.000789894  -9.10519e-05
2.51  0.000796392  -9.19241e-05
2.52  0.000801936  -9.26875e-05
2.53  0.000806518  -9.33409e-05
2.54  0.000810131  -9.38835e-05
2.55  0.000812768  -9.43141e-05
2.56  0.000814425  -9.46323e-05
2.57  0.000815097  -9.48372e-05
2.58  0.000814781  -9.49286e-05
2.59  0.000813477  -9.49059e-05
2.6  0.000811184  -9.47692e-05
2.61  0.000807903  -9.45183e-05
2.62  0.000803636  -9.41533e-05
2.63  0.000798387  -9.36744e-05
2.64  0.000792161  -9.30821e-05
2.65  0.000784963  -9.23769e-05
2.66  0.000776801  -9.15594e-05
2.67  0.000767684  -9.06305e-05
2.68  0.000757621  -8.95911e-05
2.69  0.000746622  -8.84423e-05
2.7  0.000734702  -8.71854e-05
2.71  0.000721872  -8.58217e-05
2.72  0.000708147  -8.43527e-05
2.73  0.000693544  -8.27802e-05
2.74  0.000678078  -8.11058e-05
2.75  0.000661769  -7.93315e-05
2.76  0.000644636  -7.74594e-05
2.77  0.000626698  -7.54917e-05
2.78  0.000607977  -7.34306e-05
2.79  0.000588496  -7.12786e-05
2.8  0.000568278  -6.90383e-05
2.81  0.000547348  -6.67123e-05
2.82  0.000525731  -6.43034e-05
2.83  0.000503453  -6.18145e-05
2.84  0.000480543  -5.92487e-05
2.85  0.000457027  -5.6609e-05
2.86  0.000432936  -5.38987e-05
2.87  0.000408298  -5.11211e-05
2.88  0.000383145  -4.82796e-05
2.89  0.000357508  -4.53776e-05
2.9  0.000331419  -4.24188e-05
2.91  0.00030491  -3.94068e-05
2.92  0.000278016  -3.63454e-05
2.93  0.000250768  -3.32383e-05
2.94  0.000223203  -3.00895e-05
2.95  0.000195354  -2.69028e-05
2.96  0.000167257  -2.36822e-05
2.97  0.000138948  -2.04317e-05
2.98  0.000110462  -1.71555e-05
2.99  8.18347e-05  -1.38576e-05
3  5.31037e-05  -1.05422e-05
3.01  2.4305e-05  -7.21347e-06
3.02  -4.5247e-06  -3.87556e-06
3.03  -3.33486e-05  -5.32708e-07
3.04  -6.213e-05  2.81088e-06
3.05  -9.08321e-05  6.15097e-06
3.06  -0.000119418  9.48334e-06
3.07  -0.000147852  1.28038e-05
3.08  -0.000176097  1.61081e-05
3.09  -0.000204116  1.93921e-05
3.1  -0.000231875  2.26516e-05
3.11  -0.000259338  2.58825e-05
3.12  -0.000286469  2.90807e-05
3.13  -0.000313233  3.22422e-05
3.14  -0.000339598  3.53629e-05
3.15  -0.000365527  3.84388e-05
3.16  -0.00039099  4.14662e-05
3.17  -0.000415952  4.44411e-05
3.18  -0.000440383  4.73599e-05
3.19  -0.00046425  5.02187e-05
3.2  -0.000487524  5.3014e-05
3.21  -0.000510175  5.57423e-05
3.22  -0.000532174  5.84001e-05
3.23  -0.000553493  6.0984e-05
3.24  -0.000574104  6.34909e-05
3.25  -0.000593983  6.59176e-05
3.26  -0.000613103  6.82609e-05
3.27  -0.000631441  7.05181e-05
3.28  -0.000648973  7.26863e-05
3.29  -0.000665678  7.47627e-05
3.3  -0.000681535  7.67449e-05
3.31  -0.000696523  7.86303e-05
3.32  -0.000710625  8.04166e-05
3.33  -0.000723823  8.21016e-05
3.34  -0.0007361  8.36834e-05
3.35  -0.000747442  8.51598e-05
3.36  -0.000757835  8.65293e-05
3.37  -0.000767266  8.779e-05
3.38  -0.000775725  8.89406e-05
3.39  -0.000783201  8.99796e-05
3.4  -0.000789685  9.09059e-05
3.41  -0.000795171  9.17184e-05
3.42  -0.000799653  9.24162e-05
3.43  -0.000803125  9.29986e-05
3.44  -0.000805585  9.34648e-05
3.45  -0.00080703  9.38145e-05
3.46  -0.00080746  9.40473e-05
3.47  -0.000806876  9.41631e-05
3.48  -0.000805279  9.41619e-05
3.49  -0.000802672  9.40439e-05
3.5  -0.000799061  9.38092e-05
3.51  -0.00079445  9.34584e-05
3.52  -0.000788848  9.29921e-05
3.53  -0.000782262  9.2411e-05
3.54  -0.000774702  9.17159e-05
3.55  -0.00076618  9.09079e-05
3.56  -0.000756706  8.99882e-05
3.57  -0.000746295  8.89581e-05
3.58  -0.000734961  8.78189e-05
3.59  -0.000722719  8.65724e-05
3.6  -0.000709585  8.52201e-05
3.61  -0.000695579  8.37639e-05
3.62  -0.000680718  8.22058e-05
3.63  -0.000665022  8.05479e-05
3.64  -0.000648513  7.87923e-05
3.65  -0.000631211  7.69414e-05
3.66  -0.000613141  7.49975e-05
3.67  -0.000594324  7.29633e-05
3.68  -0.000574785  7.08414e-05
3.69  -0.000554551  6.86344e-05
3.7  -0.000533646  6.63452e-05
3.71  -0.000512098  6.39768e-05
3.72  -0.000489934  6.15321e-05
3.73  -0.000467182  5.90142e-05
3.74  -0.00044387  5.64263e-05
3.75  -0.000420028  5.37716e-05
3.76  -0.000395686  5.10534e-05
3.77  -0.000370874  4.82751e-05
3.78  -0.000345622  4.544e-05
3.79  -0.000319961  4.25517e-05
3.8  -0.000293923  3.96137e-05
3.81  -0.00026754  3.66295e-05
3.82  -0.000240843  3.36027e-05
3.83  -0.000213864  3.05369e-05
3.84  -0.000186636  2.74359e-05
3.85  -0.000159192  2.43032e-05
3.86  -0.000131563  2.11425e-05
3.87  -0.000103782  1.79576e-05
