NEnergy= 43.8456   Entries 12
4    0.126039    0.067965    
5    0.14767     0.090498    
6    0.0251251   0.155538    
7    0.0417017   0.00739289  
8    0.00457495  0.0112596   
9    0.0064249   0           
10   0           0           
11   0           0           
NEnergy= 41.9456   Entries 12
0    0.0126984   0.0294641   
1    0.0509582   0.021143    
2    0.0333409   0.0464865   
3    0.0522434   0.0715805   
4    0.125903    0.0687604   
5    0.148059    0.0897761   
6    0.0248901   0.154887    
7    0.0413748   0.00710421  
8    0.00437332  0.0108147   
9    0.00614193  0           
10   0           0           
11   0           0           
NEnergy= 41.8456   Entries 12
0    0.0126359   0.0291578   
1    0.0507527   0.0215201   
2    0.0338403   0.0473202   
3    0.0533849   0.0721299   
4    0.125677    0.0696064   
5    0.148314    0.088892    
6    0.0245993   0.153906    
7    0.0409425   0.00684003  
8    0.00418975  0.0104075   
9    0.00588427  0           
10   0           0           
11   0           0           
NEnergy= 41.7456   Entries 12
0    0.0126166   0.0289377   
1    0.0507316   0.0219889   
2    0.0344526   0.0483798   
3    0.0547686   0.0726975   
4    0.125253    0.0705291   
5    0.148283    0.0877798   
6    0.0242919   0.152463    
7    0.0404802   0.00660976  
8    0.00402823  0.0100517   
9    0.00565721  0           
10   0           0           
11   0           0           
NEnergy= 41.6456   Entries 12
0    0.0126107   0.0287236   
1    0.0507527   0.0225081   
2    0.0351734   0.0495392   
3    0.0563186   0.0734023   
4    0.124764    0.0715952   
5    0.148143    0.0864616   
6    0.0239455   0.150627    
7    0.039952    0.00640391  
8    0.00388765  0.00973201  
9    0.00545944  0           
10   0           0           
11   0           0           
NEnergy= 41.5456   Entries 12
0    0.0126105   0.0284943   
1    0.0507819   0.0230738   
2    0.0360093   0.050785    
3    0.0580387   0.0742524   
4    0.124191    0.0728211   
5    0.147888    0.0849411   
6    0.0235789   0.148415    
7    0.0393957   0.00622254  
8    0.00376499  0.00944876  
9    0.00528665  0           
10   0           0           
11   0           0           
NEnergy= 41.4456   Entries 12
0    0.0126128   0.0282367   
1    0.050797    0.0236812   
2    0.0369513   0.0520968   
3    0.0599003   0.0752336   
4    0.123517    0.0742006   
5    0.147534    0.0832454   
6    0.0232059   0.145899    
7    0.0388382   0.00606388  
8    0.00365459  0.00919984  
9    0.00513086  0           
10   0           0           
11   0           0           
NEnergy= 41.3456   Entries 12
0    0.0126174   0.0279453   
1    0.0507868   0.0243235   
2    0.0379793   0.0534494   
3    0.0618525   0.0763189   
4    0.122738    0.0757109   
5    0.147118    0.0814164   
6    0.0228333   0.143177    
7    0.0382926   0.00592491  
8    0.0035503   0.00898148  
9    0.00498342  0           
10   0           0           
11   0           0           
NEnergy= 41.2456   Entries 12
0    0.0126253   0.0276198   
1    0.0507469   0.0249916   
2    0.0390671   0.0548153   
3    0.0638375   0.0774785   
4    0.121863    0.0773218   
5    0.146685    0.0795013   
6    0.0224623   0.140348    
7    0.0377601   0.00580221  
8    0.00344748  0.0087892   
9    0.00483784  0           
10   0           0           
11   0           0           
NEnergy= 41.1456   Entries 12
0    0.0126356   0.0272602   
1    0.0506702   0.0256709   
2    0.0401854   0.0561591   
3    0.0657951   0.0786898   
4    0.120923    0.0790018   
5    0.146286    0.0775499   
6    0.0220888   0.13751     
7    0.0372309   0.00569184  
8    0.00334378  0.00861736  
9    0.00469086  0           
10   0           0           
11   0           0           
NEnergy= 41.0456   Entries 12
0    0.0126484   0.0268757   
1    0.050562    0.0263479   
2    0.0413066   0.0574574   
3    0.0676828   0.0799276   
4    0.119952    0.0807168   
5    0.145954    0.0756032   
6    0.0217088   0.134727    
7    0.0366946   0.00559102  
8    0.00323925  0.00846182  
9    0.00454259  0           
10   0           0           
11   0           0           
NEnergy= 40.9456   Entries 12
0    0.0126617   0.0264759   
1    0.0504247   0.0270047   
2    0.0424009   0.0586817   
3    0.0694587   0.0811717   
4    0.119001    0.0824315   
5    0.145728    0.0737043   
6    0.0213165   0.132058    
7    0.036136    0.00549655  
8    0.0031353   0.00831744  
9    0.00439509  0           
10   0           0           
11   0           0           
NEnergy= 40.8456   Entries 12
0    0.0126815   0.0263082   
1    0.0506831   0.0278255   
2    0.0434671   0.0607655   
3    0.0723767   0.0815142   
4    0.1175      0.0841211   
5    0.144996    0.0716699   
6    0.0208662   0.129167    
7    0.0354725   0.00535216  
8    0.0029702   0.00810085  
9    0.00416238  0           
10   0           0           
11   0           0           
NEnergy= 40.7456   Entries 12
0    0.0127362   0.0260389   
1    0.0506681   0.0283967   
2    0.0443936   0.0617713   
3    0.0736787   0.0826828   
4    0.116662    0.0855951   
5    0.144935    0.0699723   
6    0.020493    0.126818    
7    0.0349328   0.00528738  
8    0.0028886   0.00800338  
9    0.00404589  0           
10   0           0           
11   0           0           
NEnergy= 40.6456   Entries 12
0    0.0127829   0.0257699   
1    0.0506255   0.028913    
2    0.0452411   0.0626621   
3    0.0748275   0.08382     
4    0.115955    0.0870046   
5    0.145027    0.0684004   
6    0.0200977   0.124664    
7    0.0343403   0.00522036  
8    0.00281084  0.00790289  
9    0.00393483  0           
10   0           0           
11   0           0           
NEnergy= 40.5456   Entries 12
0    0.0128237   0.0255143   
1    0.0505725   0.0293744   
2    0.046004    0.0634468   
3    0.0758285   0.0849087   
4    0.115381    0.0883309   
5    0.145254    0.0669607   
6    0.0196829   0.122703    
7    0.0336983   0.00515032  
8    0.00273764  0.00779795  
9    0.00383026  0           
10   0           0           
11   0           0           
NEnergy= 40.4456   Entries 12
0    0.0128607   0.0252802   
1    0.0505218   0.0297843   
2    0.0466837   0.0641382   
3    0.0766936   0.0859401   
4    0.114932    0.0895651   
5    0.145594    0.0656487   
6    0.0192532   0.120923    
7    0.0330151   0.00507683  
8    0.00266905  0.0076878   
9    0.00373226  0           
10   0           0           
11   0           0           
NEnergy= 40.3456   Entries 12
0    0.0128954   0.0250711   
1    0.0504808   0.0301479   
2    0.0472862   0.0647498   
3    0.0774387   0.0869121   
4    0.114594    0.0907063   
5    0.146028    0.0644529   
6    0.0188141   0.119304    
7    0.0323019   0.00499959  
8    0.00260469  0.00757195  
9    0.00364038  0           
10   0           0           
11   0           0           
NEnergy= 40.2456   Entries 12
0    0.0129288   0.0248873   
1    0.0504534   0.0304712   
2    0.0478197   0.0652945   
3    0.078081    0.0878257   
4    0.114351    0.0917577   
5    0.146535    0.06336     
6    0.0183711   0.117826    
7    0.0315708   0.00491843  
8    0.00254402  0.00745024  
9    0.00355392  0           
10   0           0           
11   0           0           
NEnergy= 40.1456   Entries 12
0    0.0129609   0.0247256   
1    0.0504383   0.0307588   
2    0.0482929   0.0657811   
3    0.0786358   0.0886852   
4    0.114191    0.0927258   
5    0.147102    0.0623575   
6    0.0179288   0.116471    
7    0.0308325   0.00483303  
8    0.00248641  0.00732225  
9    0.00347209  0           
10   0           0           
11   0           0           
NEnergy= 40.0456   Entries 12
0    0.0129919   0.0245839   
1    0.0504354   0.031016    
2    0.048715    0.0662202   
3    0.0791207   0.0894943   
4    0.114095    0.0936183   
5    0.147711    0.0614305   
6    0.0174921   0.115218    
7    0.0300981   0.00474406  
8    0.00243158  0.00718909  
9    0.00339454  0           
10   0           0           
11   0           0           
NEnergy= 39.9456   Entries 12
0    0.0130213   0.0244573   
1    0.0504399   0.0312464   
2    0.0490943   0.0666174   
3    0.079549    0.0902604   
4    0.114053    0.0944457   
5    0.148353    0.0605665   
6    0.0170645   0.114051    
7    0.0293758   0.00465207  
8    0.00237929  0.00705167  
9    0.00332097  0           
10   0           0           
11   0           0           
NEnergy= 39.8456   Entries 12
0    0.0130466   0.0243364   
1    0.0504388   0.031452    
2    0.0494394   0.0669717   
3    0.079927    0.0909985   
4    0.114061    0.0952227   
5    0.14903     0.0597561   
6    0.0166468   0.112959    
7    0.0286689   0.00455669  
8    0.00232903  0.00690929  
9    0.00325063  0           
10   0           0           
11   0           0           
NEnergy= 39.7456   Entries 12
0    0.0130633   0.024203    
1    0.0504045   0.0316334   
2    0.0497609   0.0672718   
3    0.0802493   0.0917405   
4    0.114126    0.0959742   
5    0.149765    0.0589929   
6    0.016235    0.111938    
7    0.02797     0.00445473  
8    0.00227927  0.00675662  
9    0.00318133  0           
10   0           0           
11   0           0           
NEnergy= 39.6456   Entries 12
0    0.013075    0.0240681   
1    0.0503576   0.0317972   
2    0.0500648   0.0675414   
3    0.080547    0.0924685   
4    0.114211    0.0966994   
5    0.150512    0.0582575   
6    0.0158399   0.110954    
7    0.0273017   0.00435313  
8    0.00223184  0.00660476  
9    0.0031156   0           
10   0           0           
11   0           0           
NEnergy= 39.5456   Entries 12
0    0.0130805   0.0239264   
1    0.0502904   0.0319446   
2    0.0503572   0.0677801   
3    0.0808257   0.093191    
4    0.114307    0.0974089   
5    0.151263    0.0575439   
6    0.0154637   0.11        
7    0.0266683   0.00425316  
8    0.00218676  0.00645556  
9    0.00305341  0           
10   0           0           
11   0           0           
NEnergy= 39.4456   Entries 12
0    0.0130784   0.0237727   
1    0.0501953   0.0320764   
2    0.050643    0.0679868   
3    0.0810884   0.0939162   
4    0.114409    0.0981123   
5    0.152017    0.056847    
6    0.0151077   0.109071    
7    0.0260729   0.0041559   
8    0.002144    0.00631062  
9    0.00299469  0           
10   0           0           
11   0           0           
NEnergy= 39.3456   Entries 12
0    0.0130678   0.0236032   
1    0.0500662   0.0321933   
2    0.0509259   0.06816     
3    0.0813358   0.0946515   
4    0.114512    0.0988173   
5    0.152775    0.0561633   
6    0.0147728   0.108162    
7    0.0255175   0.00406222  
8    0.00210352  0.0061712   
9    0.00293929  0           
10   0           0           
11   0           0           
NEnergy= 39.2456   Entries 12
0    0.0130481   0.0234153   
1    0.0498994   0.0322956   
2    0.0512079   0.0682981   
3    0.0815669   0.0954006   
4    0.114613    0.0995282   
5    0.153535    0.0554917   
6    0.0144593   0.107274    
7    0.0250029   0.00397281  
8    0.00206522  0.00603831  
9    0.00288706  0           
10   0           0           
11   0           0           
NEnergy= 39.1456   Entries 12
0    0.0130193   0.0232077   
1    0.0496927   0.0323837   
2    0.0514896   0.0683999   
3    0.0817791   0.0961646   
4    0.11471     0.100246    
5    0.154299    0.0548341   
6    0.014167    0.106412    
7    0.0245282   0.00388791  
8    0.0020289   0.00591227  
9    0.00283769  0           
10   0           0           
11   0           0           
NEnergy= 39.0456   Entries 12
0    0.0129818   0.022982    
1    0.0494484   0.0324576   
2    0.0517695   0.0684653   
3    0.0819696   0.0969399   
4    0.114803    0.100968    
5    0.155065    0.0541931   
6    0.0138956   0.105581    
7    0.0240924   0.00380815  
8    0.00199461  0.00579405  
9    0.00279117  0           
10   0           0           
11   0           0           
NEnergy= 38.9456   Entries 12
0    0.0129366   0.0227404   
1    0.0491699   0.0325174   
2    0.0520452   0.0684946   
3    0.0821343   0.0977221   
4    0.114893    0.101689    
5    0.155837    0.0535721   
6    0.0136436   0.104785    
7    0.0236923   0.00373363  
8    0.00196222  0.00568376  
9    0.00274733  0           
10   0           0           
11   0           0           
NEnergy= 38.8456   Entries 12
0    0.0128846   0.0224854   
1    0.0488615   0.0325639   
2    0.0523144   0.068489    
3    0.082269    0.098507    
4    0.114982    0.102406    
5    0.156617    0.0529751   
6    0.0134083   0.104033    
7    0.0233218   0.00366368  
8    0.00193138  0.00558031  
9    0.00270563  0           
10   0           0           
11   0           0           
NEnergy= 38.7456   Entries 12
0    0.0128273   0.0222181   
1    0.0485267   0.0326002   
2    0.0525778   0.0684527   
3    0.0823698   0.0992956   
4    0.115073    0.10312     
5    0.157415    0.0524037   
6    0.013184    0.103326    
7    0.0229691   0.00359596  
8    0.00190106  0.00547989  
9    0.00266454  0           
10   0           0           
11   0           0           
NEnergy= 38.6456   Entries 12
0    0.0127672   0.0219489   
1    0.048181    0.0326251   
2    0.0528284   0.0683907   
3    0.0824394   0.10007     
4    0.115164    0.103814    
5    0.158219    0.0518608   
6    0.0129723   0.102666    
7    0.0226368   0.00353282  
8    0.00187221  0.00538628  
9    0.00262539  0           
10   0           0           
11   0           0           
NEnergy= 38.5456   Entries 12
0    0.012706    0.0216836   
1    0.0478342   0.0326401   
2    0.0530637   0.0683085   
3    0.0824788   0.10082     
4    0.115255    0.104484    
5    0.159027    0.0513487   
6    0.0127712   0.102053    
7    0.0223202   0.00347396  
8    0.00184466  0.00529901  
9    0.00258791  0           
10   0           0           
11   0           0           
NEnergy= 38.4456   Entries 12
0    0.0126459   0.0214277   
1    0.0474957   0.0326468   
2    0.0532822   0.0682123   
3    0.0824907   0.101539    
4    0.115346    0.105124    
5    0.159835    0.0508676   
6    0.0125786   0.101487    
7    0.0220151   0.003419    
8    0.00181822  0.00521741  
9    0.00255178  0           
10   0           0           
11   0           0           
NEnergy= 38.3456   Entries 12
0    0.0125885   0.0211861   
1    0.0471744   0.0326473   
2    0.0534838   0.0681087   
3    0.0824786   0.102224    
4    0.115433    0.105732    
5    0.160639    0.0504156   
6    0.0123927   0.100962    
7    0.0217172   0.0033675   
8    0.00179265  0.00514075  
9    0.00251663  0           
10   0           0           
11   0           0           
NEnergy= 38.2456   Entries 12
0    0.0125357   0.0209631   
1    0.0468786   0.0326438   
2    0.0536693   0.0680044   
3    0.0824475   0.102869    
4    0.115513    0.106308    
5    0.161433    0.0499901   
6    0.012212    0.100472    
7    0.0214238   0.00331905  
8    0.00176769  0.00506835  
9    0.00248208  0           
10   0           0           
11   0           0           
NEnergy= 38.1456   Entries 12
0    0.0124891   0.0207621   
1    0.0466155   0.0326393   
2    0.0538409   0.0679068   
3    0.0824039   0.103471    
4    0.115581    0.106851    
5    0.162209    0.0495882   
6    0.0120352   0.100011    
7    0.0211324   0.00327304  
8    0.00174295  0.00499921  
9    0.00244755  0           
10   0           0           
11   0           0           
NEnergy= 38.0456   Entries 12
0    0.0124499   0.0205855   
1    0.0463905   0.0326353   
2    0.0540004   0.0678207   
3    0.0823529   0.10403     
4    0.115633    0.107364    
5    0.162961    0.0492064   
6    0.0118623   0.0995717   
7    0.0208432   0.00322948  
8    0.00171833  0.00493335  
9    0.00241288  0           
10   0           0           
11   0           0           
NEnergy= 37.9456   Entries 12
0    0.012419    0.0204344   
1    0.0462064   0.0326335   
2    0.0541502   0.0677502   
3    0.0822996   0.104545    
4    0.115662    0.107848    
5    0.163683    0.0488407   
6    0.011693    0.0991487   
7    0.0205559   0.00318809  
8    0.00169359  0.00487035  
9    0.00237776  0           
10   0           0           
11   0           0           
NEnergy= 37.8456   Entries 12
0    0.0123968   0.020308    
1    0.0460644   0.0326362   
2    0.0542943   0.0676989   
3    0.0822486   0.105019    
4    0.115665    0.108309    
5    0.164373    0.0484867   
6    0.0115267   0.0987353   
7    0.0202698   0.00314826  
8    0.00166838  0.00480923  
9    0.00234168  0           
10   0           0           
11   0           0           
NEnergy= 37.7456   Entries 12
0    0.0123837   0.0202032   
1    0.0459626   0.0326471   
2    0.0544397   0.0676718   
3    0.0822052   0.105462    
4    0.115635    0.108758    
5    0.165029    0.0481377   
6    0.011361    0.0983208   
7    0.0199811   0.00310836  
8    0.00164191  0.00474743  
9    0.0023036   0           
10   0           0           
11   0           0           
NEnergy= 37.6456   Entries 12
0    0.0123789   0.0201196   
1    0.0458984   0.0326626   
2    0.0545831   0.0676629   
3    0.0821676   0.10587     
4    0.115574    0.109193    
5    0.165654    0.0477945   
6    0.0111993   0.0979082   
7    0.0196967   0.00307009  
8    0.00161494  0.00468774  
9    0.00226457  0           
10   0           0           
11   0           0           
NEnergy= 37.5456   Entries 12
0    0.0123815   0.0200544   
1    0.045868    0.0326824   
2    0.054726    0.0676704   
3    0.082137    0.106248    
4    0.115481    0.109615    
5    0.166245    0.0474561   
6    0.0110423   0.0974982   
7    0.0194187   0.00303343  
8    0.00158746  0.00463019  
9    0.00222464  0           
10   0           0           
11   0           0           
NEnergy= 37.4456   Entries 12
0    0.0123906   0.0200045   
1    0.0458663   0.0327056   
2    0.0548694   0.0676913   
3    0.0821128   0.106598    
4    0.115358    0.110029    
5    0.166807    0.0471218   
6    0.0108906   0.097091    
7    0.0191486   0.00299833  
8    0.00155951  0.00457477  
9    0.00218393  0           
10   0           0           
11   0           0           
NEnergy= 37.3456   Entries 12
0    0.012405    0.0199665   
1    0.0458876   0.0327312   
2    0.0550138   0.0677223   
3    0.0820939   0.106925    
4    0.115205    0.110437    
5    0.167344    0.0467907   
6    0.0107443   0.0966864   
7    0.0188873   0.00296471  
8    0.00153119  0.00452139  
9    0.00214258  0           
10   0           0           
11   0           0           
NEnergy= 37.2456   Entries 12
0    0.0124234   0.0199375   
1    0.0459266   0.032758    
2    0.0551591   0.0677598   
3    0.082079    0.107232    
4    0.115027    0.11084     
5    0.167862    0.0464627   
6    0.010604    0.0962856   
7    0.0186361   0.00293252  
8    0.00150261  0.00447007  
9    0.0021008   0           
10   0           0           
11   0           0           
NEnergy= 37.1456   Entries 12
0    0.0124449   0.0199146   
1    0.0459783   0.0327854   
2    0.0553058   0.0678011   
3    0.0820679   0.107521    
4    0.114827    0.111241    
5    0.168363    0.0461385   
6    0.0104698   0.0958909   
7    0.0183954   0.00290153  
8    0.00147382  0.00442045  
9    0.00205871  0           
10   0           0           
11   0           0           
NEnergy= 37.0456   Entries 12
0    0.0124681   0.0198959   
1    0.0460381   0.0328113   
2    0.055452    0.0678422   
3    0.0820586   0.107795    
4    0.114607    0.111639    
5    0.168852    0.0458195   
6    0.0103423   0.0955052   
7    0.018167    0.002872    
8    0.00144512  0.00437304  
9    0.00201674  0           
10   0           0           
11   0           0           
NEnergy= 36.9456   Entries 12
0    0.012492    0.0198795   
1    0.046102    0.0328347   
2    0.055597    0.0678801   
3    0.0820499   0.108053    
4    0.114374    0.112033    
5    0.169332    0.0455066   
6    0.0102217   0.0951302   
7    0.0179513   0.00284393  
8    0.00141666  0.00432784  
9    0.00197514  0           
10   0           0           
11   0           0           
NEnergy= 36.8456   Entries 12
0    0.0125157   0.0198636   
1    0.0461662   0.0328549   
2    0.0557408   0.0679131   
3    0.0820415   0.108299    
4    0.114129    0.112424    
5    0.169807    0.0451999   
6    0.0101079   0.0947661   
7    0.0177478   0.00281703  
8    0.0013885   0.00428445  
9    0.00193401  0           
10   0           0           
11   0           0           
