NEnergy= 41.6138   Entries 12
3    0.0946859   0.014567    
4    0.0178582   0.103556    
5    0.139939    0.0174745   
6    0.0108109   0.180025    
7    0.111125    0.0039622   
8    0.00141016  0.0480487   
9    0.0572777   0           
10   0           0           
11   0           0           
NEnergy= 39.7138   Entries 12
0    0.00537876  0.0251089   
1    0.0656819   0.0103388   
2    0.0128872   0.0812284   
3    0.096148    0.0142942   
4    0.017481    0.105008    
5    0.140929    0.0168419   
6    0.0102713   0.179323    
7    0.10982     0.00372763  
8    0.00134406  0.047891    
9    0.0562977   0           
10   0           0           
11   0           0           
NEnergy= 39.6138   Entries 12
0    0.00535232  0.0252104   
1    0.0661702   0.0102455   
2    0.01265     0.0820528   
3    0.0977895   0.0140753   
4    0.0172219   0.106764    
5    0.142017    0.0163725   
6    0.00987551  0.178217    
7    0.108171    0.00352515  
8    0.00129353  0.0476288   
9    0.0553672   0           
10   0           0           
11   0           0           
NEnergy= 39.5138   Entries 12
0    0.00532205  0.0252439   
1    0.0665007   0.0101653   
2    0.0124234   0.0827444   
3    0.0995525   0.0139266   
4    0.0170833   0.108775    
5    0.143188    0.0160544   
6    0.0096177   0.176725    
7    0.106214    0.00335491  
8    0.00125673  0.0473001   
9    0.0545525   0           
10   0           0           
11   0           0           
NEnergy= 39.4138   Entries 12
0    0.00529492  0.0252101   
1    0.0666502   0.0101169   
2    0.0122333   0.0832508   
3    0.10131     0.0138693   
4    0.017066    0.110909    
5    0.144383    0.0158657   
6    0.00947817  0.174928    
7    0.104062    0.00321719  
8    0.00123117  0.0469803   
9    0.0539444   0           
10   0           0           
11   0           0           
NEnergy= 39.3138   Entries 12
0    0.00528177  0.0251201   
1    0.0666117   0.0101236   
2    0.0121121   0.0835274   
3    0.102897    0.0139213   
4    0.0171595   0.112971    
5    0.145498    0.0157711   
6    0.00942627  0.17294     
7    0.101892    0.0031126   
8    0.00121441  0.0467728   
9    0.0536482   0           
10   0           0           
11   0           0           
NEnergy= 39.2138   Entries 12
0    0.00529282  0.0249874   
1    0.0663857   0.0102051   
2    0.0120871   0.0835385   
3    0.10415     0.0140937   
4    0.0173494   0.114765    
5    0.146427    0.015736    
6    0.0094295   0.170883    
7    0.0998865   0.0030406   
8    0.00120427  0.0467801   
9    0.0537585   0           
10   0           0           
11   0           0           
NEnergy= 39.1138   Entries 12
0    0.00533369  0.0248226   
1    0.065979    0.0103701   
2    0.012171    0.0832664   
3    0.104954    0.0143873   
4    0.0176226   0.11615     
5    0.147099    0.0157348   
6    0.00946052  0.168868    
7    0.098186    0.0029985   
8    0.00119898  0.0470722   
9    0.0543251   0           
10   0           0           
11   0           0           
NEnergy= 39.0138   Entries 12
0    0.00540351  0.0246341   
1    0.0654125   0.0106126   
2    0.0123586   0.0827276   
3    0.105278    0.0147899   
4    0.0179643   0.117077    
5    0.147496    0.0157496   
6    0.00949906  0.166975    
7    0.0968518   0.00298137  
8    0.00119728  0.0476653   
9    0.0553265   0           
10   0           0           
11   0           0           
NEnergy= 38.9138   Entries 12
0    0.00549463  0.024429    
1    0.0647233   0.0109118   
2    0.0126273   0.0819746   
3    0.105177    0.0152762   
4    0.0183564   0.11758     
5    0.147656    0.015768    
6    0.00953012  0.16526     
7    0.0958712   0.00298232  
8    0.00119819  0.0485188   
9    0.0566648   0           
10   0           0           
11   0           0           
NEnergy= 38.8138   Entries 12
0    0.00559404  0.024212    
1    0.0639573   0.0112356   
2    0.0129424   0.081084    
3    0.104764    0.0158135   
4    0.0187807   0.117754    
5    0.147658    0.0157815   
6    0.00954173  0.163768    
7    0.095182    0.00299321  
8    0.0012008   0.0495505   
9    0.0581873   0           
10   0           0           
11   0           0           
NEnergy= 38.7138   Entries 12
0    0.00568717  0.0239871   
1    0.0631647   0.0115485   
2    0.0132657   0.0801419   
3    0.104177    0.0163658   
4    0.0192168   0.117718    
5    0.147585    0.0157832   
6    0.00952463  0.162533    
7    0.0947041   0.0030063   
8    0.00120428  0.0506624   
9    0.0597249   0           
10   0           0           
11   0           0           
NEnergy= 38.6138   Entries 12
0    0.0057613   0.0237569   
1    0.0623871   0.0118198   
2    0.0135633   0.0792242   
3    0.103546    0.016902    
4    0.0196479   0.117581    
5    0.147511    0.015769    
6    0.00947314  0.161575    
7    0.0943602   0.00301542  
8    0.0012079   0.0517664   
9    0.0611326   0           
10   0           0           
11   0           0           
NEnergy= 38.5138   Entries 12
0    0.00580816  0.0235227   
1    0.0616517   0.012029    
2    0.0138119   0.078383    
3    0.102968    0.0174007   
4    0.0200626   0.117428    
5    0.147487    0.0157384   
6    0.00938626  0.160888    
7    0.0940894   0.00301673  
8    0.00121105  0.0528015   
9    0.0623158   0           
10   0           0           
11   0           0           
NEnergy= 38.4138   Entries 12
0    0.00582415  0.0232822   
1    0.0609645   0.0121676   
2    0.0140001   0.0776376   
3    0.102493    0.0178532   
4    0.0204592   0.117308    
5    0.147538    0.0156963   
6    0.00926781  0.160454    
7    0.0938551   0.00300837  
8    0.00121314  0.0537397   
9    0.0632376   0           
10   0           0           
11   0           0           
NEnergy= 38.3138   Entries 12
0    0.00581092  0.023038    
1    0.0603303   0.012238    
2    0.0141274   0.0769962   
3    0.102147    0.0182569   
4    0.0208352   0.117248    
5    0.147668    0.0156462   
6    0.00912398  0.160229    
7    0.093629    0.00299049  
8    0.0012138   0.0545732   
9    0.0638981   0           
10   0           0           
11   0           0           
NEnergy= 38.2138   Entries 12
0    0.00577291  0.0227938   
1    0.0597501   0.012249    
2    0.0141997   0.0764559   
3    0.101932    0.0186141   
4    0.0211899   0.117256    
5    0.147872    0.0155914   
6    0.00896219  0.160163    
7    0.0933939   0.00296413  
8    0.00121274  0.0553067   
9    0.0643205   0           
10   0           0           
11   0           0           
NEnergy= 38.1138   Entries 12
0    0.00571553  0.0225532   
1    0.0592211   0.0122125   
2    0.0142265   0.0760059   
3    0.101836    0.0189311   
4    0.0215257   0.117332    
5    0.148138    0.0155362   
6    0.00878979  0.160207    
7    0.0931409   0.00293045  
8    0.00120966  0.0559508   
9    0.0645376   0           
10   0           0           
11   0           0           
NEnergy= 38.0138   Entries 12
0    0.00564437  0.0223216   
1    0.0587449   0.0121406   
2    0.0142175   0.0756393   
3    0.101847    0.0192134   
4    0.0218436   0.11747     
5    0.148459    0.0154825   
6    0.00861283  0.160315    
7    0.0928614   0.00289069  
